X,Y,FID,objectid,provincia,municipio,localidad,codigo_po,direccion,margen,longitud,latitud,precio_gas,precio_g_1,precio_g_2,precio_bio,precio_nue,precio_b_1,f__ester_,f__bioalco,precio_g_3,precio_g_4,precio_g_5,precio_g_6,rotulo,tipo_venta,rem_,horario,horario00,z,fecha
-5.912611,43.546778,19,6211567,ASTURIAS,AVILÉS,AVILES,33402,"TRAVESIA LOS CANAPES, 2",D,-5.912611,43.546778,1.399000,1.299,0, ,1.369000, , , ,1.529000, , , ,LOS CANAPES,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.938028,43.543389,20,6211568,ASTURIAS,AVILÉS,AVILES,33402,"CALLE BUENAVISTA, 100",I,-5.938028,43.543389,1.399000,1.299,0, ,1.379000, , , ,1.539000, , , ,SHELL,P,OM,L-D: 06:00-00:00,L-D: 06:00-00:00, ,2019/04/29 00:00:00+00
-5.922806,43.567861,21,6211569,ASTURIAS,AVILÉS,AVILES,33401,"AVDA. CONDE DE GUADALHORCE, 69",I,-5.922806,43.567861,1.399000,1.289,0, ,1.349000, , , ,1.514000, , , ,LA RÍA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
-5.923194,43.570639,22,6211570,ASTURIAS,AVILÉS,AVILES,33401,"TRAVESÍA TORNO DEL, 2",D,-5.923194,43.570639,1.349000,1.249,0, , , , , , , , , ,REPOSTA,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.902833,43.538111,23,6211571,ASTURIAS,AVILÉS,VILLALEGRE (AVILES),33400,"CALLE SANTA APOLONIA, 161",D,-5.902833,43.538111,1.399000,1.299,0.989, ,1.379000, , , , , , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.911444,43.551556,24,6211572,ASTURIAS,AVILÉS,LLARANES,33460,"AVENIDA GIJON, 70",I,-5.911444,43.551556,1.399000,1.309,0, ,1.389000, , , ,1.539000, , , ,REPSOL,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00, ,2019/04/29 00:00:00+00
-5.906889,43.537,25,6211573,ASTURIAS,AVILÉS,AVILES,33400,"AVDA. CRISTOBAL COLÓN, S/N",N,-5.906889,43.537,1.399000,1.299,0, ,1.379000, , , ,1.539000, , , ,SHELL,P,OM,L-D: 06:00-00:00,L-D: 06:00-00:00, ,2019/04/29 00:00:00+00
-5.933139,43.552,26,6211574,ASTURIAS,AVILÉS,AVILES,33400,AVDA. DE SAN AGUSTÍN S/N,N,-5.933139,43.552,1.399000,1.299,0, ,1.379000, , , ,1.539000, , , ,SHELL,P,OM,L-D: 06:00-00:00,L-D: 06:00-00:00, ,2019/04/29 00:00:00+00
-5.924028,43.562333,27,6211575,ASTURIAS,AVILÉS,AVILES,33400,"AVDA. DE LOS TELARES, 27 (N-632 km 94,4)",I,-5.924028,43.562333,1.399000,1.309,0, ,1.369000, , , ,1.514000, , , ,CEPSA,P,OM,L-D: 06:00-23:59,L-D: 06:00-23:59, ,2019/04/29 00:00:00+00
-5.933444,43.545278,28,6211576,ASTURIAS,AVILÉS,AVILES,33400,"CALLE BUENAVISTA, 63",N,-5.933444,43.545278,1.318000,1.178,0, ,1.278000, , , ,1.388000, , , ,ZEPXA ECO,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.911,43.560056,29,6211577,ASTURIAS,AVILÉS,AVILES,33400,"CARRETERA AS-238 (PARQ. EMPRES. PRINCIPADO ASTURIAS KM. 0,8",I,-5.911,43.560056,1.399000,1.309,0, ,1.389000, , , ,1.539000, , , ,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
