provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
ASTURIAS,COANA,JARRIO,33719,"POLIGONO INDUSTRIAL RIO PINTO, 102",-6.764556,43.541778
ASTURIAS,COANA,JARRIO,33719,CTRA.N-634 km 528,-6.759778,43.541056
ASTURIAS,COANA,CARTAVIO,33719,"CR N-634, 530,1 (N-634 km 530,13)",-6.783639,43.544278000000006
ASTURIAS,COLUNGA,COLUNGA,33320,"CR N-632, 23,7",-5.260944,43.484417
ASTURIAS,COLUNGA,COLUNGA,33320,"AUTOVIA A8 km 347,5",-5.283194,43.4825
ASTURIAS,COLUNGA,COLUNGA,33320,"AUTOVIA A8 km 347,5",-5.289083,43.481361
ASTURIAS,CORVERA DE ASTURIAS,CAMPOS (LOS),33404,"CARRETERA AS-17 KM. 3,5",-5.889639,43.535167
ASTURIAS,CORVERA DE ASTURIAS,TRASMONTE,33468,"COMPLEJO CENTRO COMERCIAL PARQUE ASTUR, S/N",-5.871278,43.547556
ASTURIAS,CORVERA DE ASTURIAS,CORVERA DE ASTURIAS,33416,"CARRETERA AS-19 KM. 19,4",-5.8725,43.550694
ASTURIAS,CUDILLERO,"PITO, EL",33154,"CARRETERA CTRA ANT. N 632 KM 123,7 KM. 123,7",-6.138361,43.546333000000004
ASTURIAS,CUDILLERO,CUDILLERO,33150,CARRETERA NACIONAL 632 KM 123.700 KM.,-6.166056,43.554528000000005
ASTURIAS,CUDILLERO,SAN COSME,33155,"CARRETERA N-632 KM. 128,100",-6.217694,43.546944
ASTURIAS,CUDILLERO,NOVELLANA,33157,"AUTOVIA DEL CANTABRICO  A8 KM. 134,2",-6.283778,43.557583
ASTURIAS,FRANCO (EL),VALDEPARES,33746,"CR N-634, 535,8",-6.845083,43.555028
ASTURIAS,GIJON,GIJON,33206,"CALLE CARMEN, 24",-5.667639,43.541139
ASTURIAS,GIJON,GIJON,33207,"AVENIDA PORTUGAL, 44",-5.6713059999999995,43.537917
ASTURIAS,GIJON,GIJON,33202,CL SANTA DORADIA 22,-5.657083,43.53825
ASTURIAS,GIJON,GIJON,33208,"CALLE FERNANDEZ LADREDA, 45",-5.668472,43.534333000000004
ASTURIAS,GIJON,GIJON,33203,CARRETERA AS-247 KM. 1,-5.638167,43.541917
ASTURIAS,GIJON,GIJON,33204,CARRETERA VIESQUES KM. S/N,-5.643306,43.532028000000004
ASTURIAS,GIJON,GIJON,33209,CARRETERA AS-248 KM. 20,-5.654861,43.528778
ASTURIAS,GIJON,GIJON,33212,"AVENIDA EDUARDO CASTRO, 92",-5.696972,43.544917
ASTURIAS,GIJON,GIJON,33212,"AVENIDA PRINCIPE DE ASTURIAS, 78",-5.695444,43.543167
ASTURIAS,GIJON,GIJON,33212,"POLIGONO CENTRO DE ALMACENAMIENTO GALP MUSEL GIJON, SN",-5.694139,43.547971999999994
ASTURIAS,GIJON,GIJON,33212,"AVENIDA DE LA ARGENTINA, S/N",-5.703389,43.538222
ASTURIAS,GIJON,GIJON,33211,"AVENIDA ROCES, N",-5.677944,43.508860999999996
ASTURIAS,GIJON,GIJON,33211,"AVENIDA CONSTITUCION, 220",-5.684722,43.521111
ASTURIAS,GIJON,GIJON,33211,"POLIGONO LOS CAMPONES INTERS. AS-19 (PARC.1 Y 4) (TREMANES-CARRETERA), S/N",-5.7075,43.529889000000004
ASTURIAS,GIJON,GIJON,33211,"POLIGONO DE ROCES, No 5 - CARRETERA CARBONERA,, 2230",-5.680167,43.507444
ASTURIAS,GIJON,GIJON,33211,"AVENIDA DE LA METALURGIA, S/N",-5.711889,43.525361
ASTURIAS,GIJON,GIJON,33211,"AVENIDA DE OVIEDO, 176",-5.686806,43.517972
ASTURIAS,GIJON,GIJON,33211,CARRETERA AS-19 KM. S/N,-5.71225,43.5375
ASTURIAS,GIJON,GIJON,33211,"CALLE GRAHAM BELL, 575",-5.679194,43.506471999999995
ASTURIAS,GIJON,GIJON,33211,"CALLE NICOLAS COPERNICO, 311",-5.689361,43.508333
ASTURIAS,GIJON,GIJON,33211,AUTOPISTA AS -2 KM. 22,-5.691167,43.511556
ASTURIAS,GIJON,GIJON,33211,"CALLE PAULINA CANGA, 4",-5.704139,43.533139
ASTURIAS,GIJON,GIJON,33211,"AVENIDA DE LOS CAMPONES, 13",-5.691222,43.533833
ASTURIAS,GIJON,GIJON,33213,"CALLE MAESTRO AMADO MORAN, S/N",-5.694139,43.535861
ASTURIAS,GIJON,GIJON,33213,"CALLE JOSE LLAMA FERNANDEZ, 7",-5.726222,43.514111
ASTURIAS,GIJON,GIJON,33210,"AVENIDA CONSTITUCION, 105",-5.676278,43.527694
ASTURIAS,GIJON,GIJON,33210,"CALLE SEVERO OCHOA, 36",-5.675944,43.527167
ASTURIAS,GIJON,GIJON,33210,"CALLE CARRETERA CARBONERA , (GASOLINERA), 52",-5.668889,43.521
ASTURIAS,GIJON,GIJON,33394,"CARRETERA N-632 KM. 60,7",-5.584278,43.517083
ASTURIAS,GIJON,GRANDA DE ABAJO,33391,"CARRETERA AS-248 KM. 3,600",-5.658528,43.50775
ASTURIAS,GIJON,MAREO DE ABAJO,33390,AUTOVIA AS-I KM. 37,-5.6731940000000005,43.494083
ASTURIAS,GIJON,MAREO DE ABAJO,33390,"CARRETERA AS-246 KM. 28,7",-5.69025,43.494139000000004
ASTURIAS,GIJON,GIJON,33392,"CAMINO DEL FONTAN, 590",-5.710583,43.495861
ASTURIAS,GIJON,GIJON,33392,"CARRETERA AS-II KM. 20,70",-5.716944,43.495278000000006
ASTURIAS,GIJON,VERINA,33691,"ZONA CALLE MANUEL VIGIL MONTOTO, 80",-5.716111,43.536861
ASTURIAS,GIJON,VERINA,33691,"CARRETERA AS-19 KM. 4,4",-5.721278,43.538694
ASTURIAS,GOZON,NEMBRO,33449,"CARRETERA AS-238 KM. 11,1",-5.814278,43.608194
ASTURIAS,GRADO,GRADO,33820,"CL FLOREZ ESTRADA, 46",-6.074333,43.38725
ASTURIAS,GRADO,GRADO,33820,"CARRETERA NACIONAL 634 KM. 431,3",-6.063667,43.393417
ASTURIAS,GRANDAS DE SALIME,GRANDAS DE SALIME,33730,"AVENIDA GALICIA, S/N",-6.879361,43.219471999999996
ASTURIAS,IBIAS,SAN ANTOLIN,33810,"ALDEA AV AURELIO MENENDEZ, SN",-6.871306,43.038139
ASTURIAS,LANGREO,LANGREO,33930,C/ HIGINIO CARROCERA S/N- BARROS - LANGREO (AS-17 km 39.1),-5.704111,43.316361
ASTURIAS,LANGREO,LANGREO,33930,"AVENIDA LA FELGUERA, S/N",-5.687194,43.313694
ASTURIAS,LANGREO,LANGREO,33920,"POLIGONO INDUSTRIAL DE RIANO I, 26/27",-5.719306,43.323694
ASTURIAS,LANGREO,LANGREO,33920,"CALLE ALISEDA UMERAL POLG. IND. DE RIANO I, 1",-5.718667,43.322583
ASTURIAS,LANGREO,LANGREO,33920,"POLIGONO POLIGONO RIANOI, 1",-5.729667,43.326306
ASTURIAS,LANGREO,LANGREO,33920,"CARRETERA AS-17 KM. 37,400",-5.7135,43.327639000000005
ASTURIAS,LANGREO,"FELGUERA (LANGREO), LA",33930,"POLIGONO VALNALON, S/N",-5.688389,43.305389
ASTURIAS,LANGREO,SAMA DE LANGREO,33900,CARRETERA AS 111 KM. 1,-5.693694,43.300806
ASTURIAS,LAVIANA,POLA DE LAVIANA,33980,"POLIGONO EL SUTU, S/N",-5.568944,43.249194
ASTURIAS,LAVIANA,POLA DE LAVIANA,33980,POLIGONO EL SUTU S/N,-5.568472,43.249167
ASTURIAS,LENA,POLA DE LENA,33630,"AUTOVIA A-66 (MRG.DCHO.) KM. 58,5",-5.811222,43.181861
ASTURIAS,LENA,POLA DE LENA,33630,"AUTOVIA A-66 (MRG.IZDO.) KM. 58,5",-5.80975,43.181639000000004
ASTURIAS,LENA,POLA DE LENA,33630,CL HERMANOS GRANDA S/N,-5.828972,43.165833
ASTURIAS,LLANERA,POSADA,33424,"CARRETERA LUGONES-AVILES KM. 4,3",-5.841833,43.432167
ASTURIAS,LLANERA,POSADA,33424,"AVENIDA PRUDENCIO GONZALEZ, 14",-5.851472,43.440028000000005
ASTURIAS,LLANERA,CORUNO,33428,"CALLE A - POLIGONO INDUSTRIAL DE ASIPO, 21",-5.837861,43.427333000000004
ASTURIAS,LLANERA,ROBLEDO,33690,CARRETERA AU A-66 KM. 19,-5.798889,43.435556
ASTURIAS,LLANERA,ROBLEDO,33690,CARRETERA AU A-66 KM. 19,-5.798611,43.438056
ASTURIAS,LLANERA,PRUVIA,33192,"AUTOPISTA AS-II KM. 9,8",-5.813416999999999,43.442721999999996
ASTURIAS,LLANERA,PRUVIA,33192,"CARRETERA AS-18 KM. 9,2",-5.787528,43.432889
ASTURIAS,LLANERA,SILVOTA (LLANERA-POL. INDUSTRIAL),33192,"PG INDUSTRIAL SILVOTA, S.N.",-5.8175,43.414389
