id,provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
gasolinera_42,BURGOS,FRANDOVINEZ,FRANDOVINEZ,9230,AUTOVIA A-62 KM. 16,7,-3,8465,42,294444
gasolinera_43,BURGOS,VILLALMANZO,VILLALMANZO,9390,CARRETERA CRTA A-1,  MADRID-BURGOS KM. 203,-3,752778,42,040694
gasolinera_44,BURGOS,MIRANDA DE EBRO,MIRANDA DE EBRO,9200,CR N-1, 318,8,-2,9375,42,692944
gasolinera_45,CACERES,CACERES,CACERES,10001,CALLE GIL CORDERO, S,N,-6,382444,39,469417
gasolinera_46,CACERES,CASAR DE CACERES,CASAR DE CACERES,10190,CARRETERA CIRCUNVALACION KM. S/N,-6,419111,39,550472
gasolinera_47,CACERES,CORIA,CORIA,10800,CARRETERA EX 108 KM. 87,2,-6,51925,39,982056
gasolinera_48,CACERES,MIAJADAS,MIAJADAS,10100,CALLE HERRADORES, 2,-5,9215,39,140472
gasolinera_49,CACERES,JARAIZ DE LA VERA,JARAIZ DE LA VERA,10400,CARRETERA EX-392 KM. 16,-5,744667,40,051083
gasolinera_50,CACERES,NAVALMORAL DE LA MATA,NAVALMORAL DE LA MATA,10300,CARRETERA EX-118 KM. 179,-5,52425,39,891111
gasolinera_51,CACERES,PLASENCIA,PLASENCIA,10600,AVENIDA ESPANA, 44,-6,098167,40,021639
gasolinera_52,CACERES,TRUJILLO,TRUJILLO,10200,CARRETERA ANTIGUA N-V KM. 252,-5,863111,39,468806
gasolinera_53,CACERES,VALDASTILLAS,VALDASTILLAS,10614,CARRETERA N-110 KM. 382,400,-5,890833,40,136417
gasolinera_54,CADIZ,ARCOS DE LA FRONTERA,ARCOS DE LA FRONTERA,11630,CARRETERA A-382 KM. 26,8,-5,822389,36,747833
gasolinera_55,RIOJA (LA),VILLAMEDIANA DE IREGUA,PUENTE MADRE,26142,POLIGONO POLIGONO I-9, 2,-2,419083,42,447611
gasolinera_56,ALBACETE,ALBACETE,ALBACETE,2006,PG CAMPOLLANO-P. 2-CT, S.N.,-1,874972,39,012583
gasolinera_59,ALBACETE,HELLIN,HELLIN,2400,CARRETERA MURCIA KM. 33,-1,687833,38,506806
gasolinera_60,ALBACETE,RODA (LA),RODA (LA),2630,AUTOVIA A-31 KM. 40,-2,166444,39,212972
gasolinera_61,ALBACETE,TOBARRA,TOBARRA,2500,AVENIDA GUARDIA CIVIL, 162,-1,680833,38,601722
gasolinera_62,ALBACETE,VILLARROBLEDO,VILLARROBLEDO,2600,AVENIDA REYES CATOLICOS, 108,-2,594111,39,272056
gasolinera_63,ALICANTE,COCENTAINA,COCENTAINA,3820,AVENIDA ALICANTE, 49,-0,45775,38,717889
gasolinera_64,ALICANTE,BENIDORM,BENIDORM,3501,CARRETERA CV-70 KM. 47,-0,134444,38,559583
gasolinera_65,ALICANTE,GATA DE GORGOS,GATA DE GORGOS,3740,CARRETERA N-332 KM. 187,5,0,098639,38,768111
gasolinera_66,ALICANTE,CALPE/CALP,CALPE,3710,AVENIDA DIPUTACION, 35,0,04175,38,646306
gasolinera_67,ALICANTE,CASTALLA,CASTALLA,3420,AVENIDA DE IBI, 46,-0,669611,38,600944
gasolinera_68,ALICANTE,DENIA,DENIA,3700,CALLE AVENIDA VALENCIA, 44,0,098194,38,839583
gasolinera_69,ALICANTE,ELDA,ELDA,3600,AVENIDA MONOVAR, 10,-0,802222,38,478556
gasolinera_70,ALICANTE,IBI,IBI,3440,AV DE LA PROVIDENCIA S/N,-0,585583,38,6165
gasolinera_71,ALICANTE,VILLENA,VILLENA,3400,CARRETERA CARRETERA DE YECLA KM. 1,-0,870667,38,635889
gasolinera_72,ALMERIA,ADRA,PUENTE DEL RIO,4779,AVENIDA LEGION ESPANOLA, 2,-2,983333,36,758889
gasolinera_73,ALMERIA,ALBOX,ALBOX,4800,CARRETERA LORCA- BAZA, PARAJE LOS CHORLITOS, PARC. 426, POL. 41 KM. 426,-2,133194,37,378139
gasolinera_74,ALMERIA,BERJA,BERJA,4760,AVENIDA JOSE BARRIONUEVO PENA, S/N,-2,945833,36,841667
gasolinera_75,ALMERIA,FINES,ESTACION (LA),4869,PARAJE MOJON. POLIGONO 5. PARCELA, 44,-2,282472,37,358167
gasolinera_76,ALMERIA,NIJAR,SAN ISIDRO DE NIJAR,4117,CARRETERA IRYDA (CH) KM. 5,-2,149167,36,922972
gasolinera_77,ALMERIA,PULPI,PULPI,4640,POLIGONO S-LF1, 1,-1,749139,37,383472
gasolinera_78,ALMERIA,VELEZ-BLANCO,VELEZ-BLANCO,4830,CARRETERA C-321, PJE.CANADA DE NAVARRO KM 000000 KM. 162,-2,090333,37,678111
gasolinera_79,GRANADA,GRANADA,GRANADA,18003,CARRETERA ANTIGUA DE MALAGA A GRANADA KM. 142,-3,636361,37,190722
gasolinera_80,GRANADA,PURULLENA,PURULLENA,18519,CARRETERA CR A-2 SEVILLA-BAZA DCHA. KM 286 KM. 286,-3,215694,37,328889
gasolinera_81,GRANADA,DURCAL,DURCAL,18560,CARRETERA BAILEN-MOTRIL N-323 KM. 151,-3,577611,36,999694
gasolinera_82,GRANADA,HUESCAR,HUESCAR,18830,CARRETERA A-330 KM. 28,3,-2,542361,37,779639
gasolinera_83,GRANADA,SALAR,SALAR,18310,CARRETERA A- 4155 KM. 1,-4,076611,37,163833
gasolinera_84,GRANADA,MOTRIL,MOTRIL,18600,AUTOVIA GR-14 KM. 0,-3,55725,36,770722
gasolinera_85,GRANADA,MORALEDA DE ZAFAYONA,MORALEDA DE ZAFAYONA,18370,AUTOVIA A-92 KM. 211,-3,95275,37,182583
gasolinera_86,MADRID,MADRID,MADRID,28030,CL GL.CORREGIDOR SANCHO DE CORD, S.,-3,652028,40,407389
gasolinera_87,GUIPUZCOA,ASTIGARRAGA,ASTIGARRAGA,20115,CTRA. ASTIGARRAGA-OIARTZUN (GI-2132 km 10),-1,916778,43,281972
gasolinera_88,GUIPUZCOA,ARRASATE/MONDRAGON,ARRASATE/MONDRAGON,20500,SAN ANDRES AUZOA, 7 (BERGARA-VITORIA C-6213 km 80,3),-2,4975,43,048695
gasolinera_89,GUIPUZCOA,BEASAIN,BEASAIN,20200,CR  N-1 ,P.K. 419,-2,194806,43,045278
gasolinera_90,GUIPUZCOA,ZESTOA,ZESTOA,20740,CARRETERA GI-631 KM. 5,00,-2,259444,43,241444
gasolinera_91,CORDOBA,CORDOBA,CORDOBA,14007,AVDA. LIBIA, 34,-4,758806,37,890944
gasolinera_92,GUIPUZCOA,EIBAR,EIBAR,20600,CALLE BARRENA, 19,-2,454556,43,189972
gasolinera_93,HUELVA,HUELVA,HUELVA,21007,AVDA. NUEVO COLOMBINO S/N.,-6,919611,37,263306
gasolinera_94,HUELVA,ALMONTE,ALMONTE,21730,POLIGONO INDUSTRIAL EL TOMILLAR,PARCELA, 77,-6,507861,37,254056
