id,provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
gasolinera_211,MALAGA,MARBELLA,MARBELLA,29600,AVENIDA SEVERO OCHOA, 55,-4,873778,36,509306
gasolinera_212,MALAGA,NERJA,NERJA,29780,CALLE PAGO CASTILLO ALTO, 1,-3,885528,36,755389
gasolinera_213,MALAGA,HUMILLADERO,HUMILLADERO,29531,CARRETERA A-92 KM. 135,-4,693528,37,131944
gasolinera_214,MURCIA,AGUILAS,AGUILAS,30880,CTRA. DE LORCA, No 2 (C-3211A km 94,6),-1,586222,37,40875
gasolinera_215,MURCIA,CALASPARRA,CALASPARRA,30420,CARRETERA C-3314 KM. 14,100,-1,735028,38,205417
gasolinera_216,MURCIA,CARTAGENA,CABO DE PALOS,30370,CTRA. CABO DE PALOS A LA MANGA km S/No,-0,707917,37,635167
gasolinera_217,LUGO,MONFORTE DE LEMOS,MONFORTE DE LEMOS,27400,AVENIDA GALICIA, 41,-7,513056,42,51975
gasolinera_218,LUGO,VILALBA,VILALBA,27800,CALLE CAMPO DEL PUENTE, SN,-7,672333,43,302639
gasolinera_219,LUGO,VIVEIRO,VIVEIRO,27850,CALLE SAN LAZARO, 3,-7,591806,43,667167
gasolinera_220,MADRID,BUITRAGO DEL LOZOYA,BUITRAGO DEL LOZOYA,28730,PLAZA HUERTA DE LAS FLORES, 2,-3,637528,40,997889
gasolinera_221,MADRID,CABRERA (LA),CABRERA (LA),28751,AVENIDA AVDA. DE LA CABRERA S/N JUNTO AL HOSTAL EL CANCHO DEL AGUILA (A-1 KM 60), S/N,-3,602389,40,875833
gasolinera_222,SALAMANCA,SALAMANCA,SALAMANCA,37008,AVENIDA ALDEHUELA, 10,-5,65325,40,957972
gasolinera_223,SALAMANCA,CIUDAD RODRIGO,CIUDAD RODRIGO,37500,AVENIDA SALAMANCA, S/N,-6,528806,40,604111
gasolinera_224,SALAMANCA,FUENTES DE ONORO,NUEVO POBLADO,37480,CARRETERA N-620 KM. 351,0,-6,818167,40,602611
gasolinera_225,SALAMANCA,SANCTI-SPIRITUS,SANCTI-SPIRITUS,37470,N-620 km 309,2,-6,416278,40,697972
gasolinera_226,SEVILLA,SEVILLA,SEVILLA,41012,AVENIDA MOLINI, 3,-5,988139,37,369361
gasolinera_227,SEGOVIA,CEREZO DE ABAJO,CEREZO DE ABAJO,40591,CR N-1, 103,-3,591083,41,219083
gasolinera_228,SEGOVIA,CUELLAR,CUELLAR,40200,CARRETERA VALLADOLID S/N FINCA 16114 KM. 148,-4,326972,41,405972
gasolinera_229,SEGOVIA,SEGOVIA,SEGOVIA,40002,PASEO EZEQUIEL GONZALEZ, 28,-4,122944,40,946111
gasolinera_230,SEGOVIA,MARTIN MUNOZ DE LA DEHESA,MARTIN MUNOZ DE LA DEHESA,40466,AUTOVIA A-6 KM. 124,-4,699306,41,052917
gasolinera_231,AVILA,ADANERO,ADANERO,5296,AUTOVIA DEL NOROESTE KM. 111,-4,614111,40,955639
gasolinera_232,SEVILLA,PARADAS,PARADAS,41610,CARRETERA A-92 KM. 45,-5,500389,37,270056
gasolinera_233,SEVILLA,PILAS,PILAS,41840,AVENIDA DEL ALJARAFE,, 98,-6,289722,37,301917
gasolinera_234,SORIA,SORIA,SORIA,42003,CALLE FUEROS DE SORIA, 2,-2,471139,41,761389
gasolinera_235,SEVILLA,CABEZAS DE SAN JUAN (LAS),CABEZAS DE SAN JUAN (LAS),41730,AVENIDA JESUS NAZARENO, 99,-5,94025,36,99225
gasolinera_236,NAVARRA,ESTELLA/LIZARRA,ESTELLA O LIZARRA,31200,CALLE MERKATONDOA, 7,-2,031194,42,663028
gasolinera_237,SEVILLA,CANTILLANA,CANTILLANA,41320,CR SE-126, 0,5,-5,820083,37,605389
gasolinera_238,SEVILLA,VISO DEL ALCOR (EL),VISO DEL ALCOR (EL),41520,CARRETERA TOCINA km 2,-5,73525,37,4
gasolinera_239,SEVILLA,CARMONA,CARMONA,41410,CALLE SEVILLA, 82,-5,650389,37,467389
gasolinera_240,SEVILLA,CUERVO DE SEVILLA (EL),CUERVO DE SEVILLA (EL),41749,CALLE TORNERO, 4,-6,034944,36,858111
gasolinera_241,SEVILLA,ECIJA,ECIJA,41400,CARRETERA E-5/A-4 KM. 460,-5,143778,37,523194
gasolinera_242,SEVILLA,ESTEPA,ESTEPA,41560,CL AVDA. BADIA POLESINE , 49,-4,883389,37,298667
gasolinera_243,SEVILLA,GUILLENA,GUILLENA,41210,CARRETERA SE-180 KM. 10,6,-6,054917,37,535139
gasolinera_244,SEVILLA,LEBRIJA,LEBRIJA,41740,AVENIDA JOSE FERNANDEZ RUIZ, 60,-6,065778,36,920194
gasolinera_245,SEVILLA,LORA DEL RIO,LORA DEL RIO,41440,POLIGONO POLIGONO INDUSTRIAL MATALLANA C/ CARRETERIA, 3,-5,548361,37,651778
gasolinera_246,SEVILLA,MARCHENA,MARCHENA,41620,CR A92 km 62,2,-5,323028,37,228972
gasolinera_247,SEVILLA,UTRERA,UTRERA,41710,PLAZA TRIANILLA (DE LA), S/N,-5,78725,37,187056
gasolinera_248,SEVILLA,MORON DE LA FRONTERA,MORON DE LA FRONTERA,41530,CALLE DE LA TRILLA, 1,-5,461528,37,125722
gasolinera_249,SEVILLA,OSUNA,OSUNA,41640,CALLE ALFONSO XII, 62,-5,113167,37,23875
gasolinera_250,SORIA,ARCOS DE JALON,ARCOS DE JALON,42250,AUTOVIA A-2 KM. 170,2,-2,260194,41,223944
gasolinera_251,PONTEVEDRA,BARRO,BARRO,36191,POLIGONO PARQUE EMPRESARIAL BARRO -MEIS PARCELA A-1, 1,-8,678333,42,513694
gasolinera_252,PONTEVEDRA,VIGO,VIGO,36214,AVENIDA MADRID, S/N,-8,700889,42,214083
gasolinera_253,PONTEVEDRA,CANIZA (A),CANIZA (A),36880,CARRETERA CARRETERA CANIZA - CRECIENTE S/N KM. 0,50,-8,267611,42,207083
gasolinera_254,PONTEVEDRA,ESTRADA (A),ESTRADA (A),36680,CL SAN PELAY0, 73,-8,490111,42,695278
gasolinera_255,CORUNA (A),VEDRA,PONTE ULLA,15881,CARRETERA N-525 KM. 322,-8,406444,42,777528
gasolinera_256,PONTEVEDRA,LALIN,LALIN,36500,CALLE RUA DO RIO, S/N, S/N,-8,121583,42,664806
gasolinera_257,PONTEVEDRA,PONTEAREAS,PONTEAREAS,36860,CARRETERA REDONDELA KM. 1,-8,500111,42,170389
gasolinera_258,PONTEVEDRA,SILLEDA,SILLEDA,36540,CARRETERA PO-2205 KM. 21,4,-8,250833,42,691028
gasolinera_259,RIOJA (LA),BRIONES,BRIONES,26330,N-232 km 441,5,-2,772833,42,536389
gasolinera_260,RIOJA (LA),HARO,HARO,26200,AVENIDA LA RIOJA, 4,-2,851139,42,575222
gasolinera_261,RIOJA (LA),NAJERA,NAJERA,26300,CALLE SAN FERNANDO, 120,-2,71725,42,415861
gasolinera_262,TARRAGONA,ALCANAR,ALCANAR,43530,CARRETERA NACIONAL 340 SEC H KM. 1059,0,506806,40,533583
gasolinera_263,NAVARRA,LARRAUN,GORRITI,31877,AUTOVIA A-15 (MRG.DCHO.) KM. 134,4,-1,955944,43,058806
gasolinera_264,NAVARRA,VILLAFRANCA,VILLAFRANCA,31330,POLIGONO ALESVES, N,-1,74425,42,272444
gasolinera_265,NAVARRA,TAFALLA,TAFALLA,31300,CARRETERA ZARAGOZA, KM 33.5 KM. 33,-1,675778,42,514472
gasolinera_266,NAVARRA,PERALTA,PERALTA,31350,CARRETERA PERALTA KM. 128,-1,789972,42,335944
gasolinera_267,NAVARRA,URDAZUBI/URDAX,URDAZUBI / URDAX,31711,BARRIO DANTXARINEA, 2,-1,505806,43,289583
gasolinera_268,OURENSE,OURENSE,OURENSE,32005,AVDA. DE ZAMORA 140,-7,862383,42,321219
gasolinera_269,OURENSE,RIBADAVIA,RIBADAVIA,32400,AUTOVIA A52 km 249,-8,093972,42,31425
gasolinera_270,OURENSE,MASIDE,MASIDE,32570,N-541 km 24,7,-8,057944,42,425806
gasolinera_271,OURENSE,RAMIRAS,RAMIRAS,32593,OU-531 km 32,500,-8,004188,42,177413
gasolinera_272,OURENSE,XINZO DE LIMIA,XINZO DE LIMIA,32630,CL A DEVESA, S.N.,-7,727083,42,075556
gasolinera_273,PALENCIA,PALENCIA,PALENCIA,34004,AVENIDA ANDALUCIA, 180,-4,510972,41,990694
gasolinera_274,PALENCIA,TORQUEMADA,TORQUEMADA,34230,CARRETERA N-620 KM. 61,-4,252417,42,051056
gasolinera_275,TARRAGONA,ALDEA (L'),ALDEA (L'),43896,AUTOPISTA AP-7 (MRG.DCHO.) KM. 317,0,626222,40,765028
gasolinera_276,TARRAGONA,DELTEBRE,DELTEBRE,43580,AVENIDA GENERALITAT, 44,0,725333,40,718556
gasolinera_277,TARRAGONA,MONTBLANC,MONTBLANC,43400,AVENIDA MURALLA SANTA TECLA, 10,1,164611,41,374361
gasolinera_278,TARRAGONA,VANDELLOS I L'HOSPITALET DE L'INFANT,VANDELLOS,43891,CR N-340, 1128,2,0,908194,40,989056
gasolinera_279,TARRAGONA,MORA LA NOVA,MORA LA NOVA,43770,CARRETERA CTRA. N-420 KM. 467,100,0,647917,41,093722
gasolinera_280,TARRAGONA,VALLS,VALLS,43800,CALLE CTRA. DE MONTBLANC, 34,1,249472,41,2885
gasolinera_281,TERUEL,CELLA,CELLA,44370,N-234 km 141,-1,251333,40,482583
gasolinera_282,TERUEL,MONREAL DEL CAMPO,MONREAL DEL CAMPO,44300,POLIGONO EL TOLLO PARCELA, 2/31,-1,339556,40,772944
gasolinera_283,TERUEL,TERUEL,TERUEL,44001,AVENIDA ZARAGOZA, 22,-1,116611,40,347889
gasolinera_285,TOLEDO,OTERO,OTERO,45543,AUTOVIA EXTREMADRUA KM. 87,-4,505278,40,020917
gasolinera_286,TOLEDO,CASARRUBIOS DEL MONTE,CASARRUBIOS DEL MONTE,45950,CARRETERA N-V KM. 40,-4,075417,40,223417
gasolinera_287,TOLEDO,TALAVERA DE LA REINA,TALAVERA DE LA REINA,45600,AV EXTREMADURA  1,-4,826611,39,961944
gasolinera_288,TOLEDO,MADRIDEJOS,MADRIDEJOS,45710,CR C-400 66 (C-400 km 66,07),-3,556444,39,464583
gasolinera_289,TOLEDO,TORRIJOS,TORRIJOS,45500,AVENIDA TOLEDO, 1,-4,27425,39,98
gasolinera_290,TOLEDO,MORA,MORA,45400,CL/ TOLEDO 85 (C-400 km 30,7),-3,77725,39,689194
gasolinera_291,TOLEDO,OCANA,OCANA,45300,PZA. DE PILAREJO, 1,-3,503528,39,955944
gasolinera_292,VALENCIA / VALENCIA,REQUENA,REQUENA,46340,CARRETERA MADRID-VALENCIA KM. 275,5,-1,106194,39,484028
gasolinera_293,VALENCIA / VALENCIA,UTIEL,UTIEL,46300,CARRETERA N-III KM. 263,1,-1,197333,39,563306
gasolinera_294,VALENCIA / VALENCIA,CARCAIXENT,CARCAIXENT,46740,CALLE EMILIO DONAT, S/N,-0,455028,39,115528
gasolinera_295,VALENCIA / VALENCIA,XERACO,XERACO,46770,N-332 km 232,9,-0,226222,39,046139
gasolinera_296,VALENCIA / VALENCIA,GODELLETA,GODELLETA,46388,CARRETERA DE LA A3 A GODELLETA KM 11,7 KM. 11,7,-0,680722,39,425028
gasolinera_297,VALLADOLID,ALDEAMAYOR DE SAN MARTIN,ALDEAMAYOR DE SAN MARTIN,47162,AUTOVIA CARRETERA SG 601 KM 13,75 KM. 13,750,-4,658667,41,541917
gasolinera_298,VALLADOLID,VALLADOLID,VALLADOLID,47013,AVENIDA SEGOVIA, 44,-4,721889,41,637139
gasolinera_299,VALLADOLID,MEDINA DEL CAMPO,MEDINA DEL CAMPO,47400,CRTA.PENARANDA S/N - C.C. CAPRABO,-4,907694,41,300389
gasolinera_300,VALLADOLID,TORDESILLAS,VILLAMARCIEL,47132,CARRETERA A-62 KM. 142,-4,895778,41,539972
gasolinera_301,VIZCAYA,DURANGO,DURANGO,48200,CARRETERA ELORRIO KM. S/N,-2,620333,43,164944
gasolinera_302,VIZCAYA,GERNIKA-LUMO,GERNIKA-LUMO,48300,CTRA. GERNIKA-AMOREBIETA km KM 1,5,-2,686944,43,2965
gasolinera_303,ZAMORA,BENAVENTE,BENAVENTE,49600,CALLE SIMON BOLIVAR, S/N,-5,662333,42,0075
gasolinera_304,ZAMORA,TORO,TORO,49800,CARRETERA N-122 KM. 425,5,-5,386194,41,523167
gasolinera_305,VALENCIA / VALENCIA,ONTINYENT,ONTINYENT,46870,AVENIDA TEXTIL, 42,-0,588056,38,827194
gasolinera_306,ZAMORA,VILLALPANDO,VILLALPANDO,49630,CM  HERRADO S/N,-5,406466,41,853645
gasolinera_307,ZAMORA,ZAMORA,ZAMORA,49022,AVENIDA REQUEJO, 31,-5,736361,41,510583
gasolinera_308,ZARAGOZA,BORJA,BORJA,50540,CALLE BARBALANCA-CENICERO, S/N,-1,516611,41,832806
gasolinera_309,ZARAGOZA,ZARAGOZA,ZARAGOZA,50011,CARRETERA CTRA.LOGRONO 42 KM. 243,420,-0,930833,41,663389
gasolinera_310,ZARAGOZA,ALFAJARIN,ALFAJARIN,50172,CARRETERA NACIONAL II KM. 341,-0,691639,41,606417
gasolinera_311,ZARAGOZA,CALATORAO,CALATORAO,50280,AUTOPISTA A-2 KM. 276,9,-1,32125,41,50175
gasolinera_312,ZARAGOZA,CETINA,CETINA,50292,CARRETERA ENLACE AUTOVIA ARAGON KM. 200,-1,964361,41,305917
gasolinera_314,ZARAGOZA,CASPE,CASPE,50700,AVENIDA COSTA JOAQUIN, 3,-0,04375,41,235944
gasolinera_315,ZARAGOZA,EJEA DE LOS CABALLEROS,EJEA DE LOS CABALLEROS,50600,CARRETERA A-127 KM. 32,3,-1,144528,42,126806
gasolinera_316,ZARAGOZA,GALLUR,GALLUR,50650,AU A-68, 254,-1,32,41,83425
gasolinera_317,ZARAGOZA,MALLEN,MALLEN,50550,CALLE JUAN CARLOS I REY DE ESPANA, 20,-1,419667,41,903278
gasolinera_318,ZARAGOZA,PEDROLA,PEDROLA,50690,CARRETERA N-232 KM. 271,200,-1,216889,41,772806
gasolinera_319,ZARAGOZA,TARAZONA,TARAZONA,50500,PG. CUNCHILLOS, S/N,-1,714694,41,906694
gasolinera_320,ZARAGOZA,TAUSTE,TAUSTE,50660,VIA PERIMETRAL, S/N,-1,255333,41,912194
gasolinera_321,TOLEDO,QUINTANAR DE LA ORDEN,QUINTANAR DE LA ORDEN,45800,AVENIDA IV CENTENARIO, 42,-3,045194,39,587694
gasolinera_322,TOLEDO,VILLACANAS,VILLACANAS,45860,CR C-402, 106,3,-3,34575,39,616333
gasolinera_324,VALENCIA / VALENCIA,FONT DE LA FIGUERA (LA),FONT DE LA FIGUERA (LA),46630,CALLE BARRANCO, S/N,-0,883778,38,809417
gasolinera_325,VALENCIA / VALENCIA,MONSERRAT,MONSERRAT,46192,CV-405 km 17,5,-0,611194,39,348278
gasolinera_326,AVILA,AVILA,AVILA,5001,AVENIDA MADRID, 4,-4,692167,40,657889
gasolinera_327,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,6200,CARRETERA GIJON-SEVILLA KM. 38,-6,405556,38,691944
gasolinera_328,BADAJOZ,BADAJOZ,BADAJOZ,6004,PLAZA PLAZA DEL PILAR, S/N, S/N,-6,971306,38,874333
gasolinera_329,BADAJOZ,MERIDA,MERIDA,6800,AVENIDA HISPANIDAD, 2,-6,361778,38,916028
gasolinera_331,BADAJOZ,DON BENITO,DON BENITO,6400,AVENIDA VEGAS ALTAS DE LAS, 120,-5,834306,38,963528
gasolinera_332,BADAJOZ,MONTIJO,MONTIJO,6480,CARRETERA LOBON LA ROCA KM. 5,300,-6,608028,38,902417
gasolinera_333,BADAJOZ,ZAFRA,ZAFRA,6300,CALLE GUADIANA, S/N,-6,404139,38,418917
gasolinera_334,BADAJOZ,TALAVERA LA REAL,TALAVERA LA REAL,6140,CARRETERA DE LA ALBUERA EX363 KM. 0,300,-6,775861,38,877167
gasolinera_335,BADAJOZ,BADAJOZ,GUADIANA DEL CAUDILLO,6186,PROLONGACIO/PROLONGACION RONDA OESTE, S/N,-6,693472,38,923306
gasolinera_336,BADAJOZ,VILLAFRANCA DE LOS BARROS,VILLAFRANCA DE LOS BARROS,6220,CR N-630, 664,5,-6,350056,38,562694
gasolinera_337,BARCELONA,BERGA,BERGA,8600,PASSEIG DE LA PAU, S/N,1,845222,42,099194
gasolinera_338,BARCELONA,BRUC (EL),BRUC (EL),8294,AUTOVIA N-II KM. 573,1,779611,41,582056
gasolinera_339,BARCELONA,CALAF,CALAF,8280,POLIG. IND. LES GARRIGUES, 24, C. BON AREA,1,526815,41,733111
gasolinera_340,BARCELONA,ODENA,ODENA,8711,CARRETERA C-244C KM. 0,05,1,636222,41,578722
gasolinera_341,BARCELONA,MOIA,MOIA,8180,AVINGUDA ZONA INDUSTRIAL, S/N,2,104444,41,808056
