Fichero actualizado a fecha: 2020-12-20 10:29:57
"Nombre del Organismo";"Descripción";"DatosPersonales";"Dirección";"Calle";"CodigoPostal";"Localidad";"Localidad";"SoloClasificar";"Teléfono";"Telefax oficial";"Fax";"e-mail";"Páginas de internet";"Posicion";"Información adicional";Directorio Superior;Identificador Directorio Superior;Identificador;ultimaActualizacion;Enlace al contenido;
"2 Puntos de recarga públicos operativos Schuko y Mennekes";;"Interior Centro Comercial Valsur";;"Paseo de Zorrilla, s/n";"47008";"Valladolid";"1179469313463";;;;;;;"41.623538#-4.749994#82";;;"";1284236303400;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284236303400/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko marca Emerix";;;;"Pza. Abilio Calderón";"34001";"Palencia";"1179298104011";;;;;;;"42.01123132986402#-4.5307230949401855#88";;;"";1284204140108;20140609;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204140108/DirectorioPadre";
"Punto de recarga privado operativo tipo Schuko (exclusivo Auvasa)";;"AUVASA";;"C/ Del Bronce";"47012";"Valladolid";"1179469311668";;;;;;;"41.615945#-4.736927#94";;;"";1284195478659;20140619;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195478659/DirectorioPadre";
"1 punto de recarga público operativos tipo Mennekes";;"Universidad de Valladolid. Aulario";;"Paseo del Cauce";"47014";"Valladolid";"1179469313463";;;;;;;"41.657981#-4.710118#100";;;"";1284335030706;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284335030706/DirectorioPadre";
"Punto de recarga público operativo";;"Apex Ingeniería Industrial, S.A.";;"C/Merindad de Valdeporres, 7. P.I. Polígono de Villalonquejar";"09001";"Burgos";"1179297447397";;;;;;;"42.370895#-3.714108#47";;;"";1284195506206;20140520;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195506206/DirectorioPadre";
"1 punto de recarga Mennekes, con cable de adaptación para Yazaki";;"Parking exterior privado. Agencia de Energía de Ávila";;"C/Canteros, s/n Fundación Cultural Santa Teresa UNED (Colegio de Huérfanos)";"05005";"Ávila";"1179297192941";;;;;;;"40.664245#-4.699084#100";;;"";1284323283088;20140515;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284323283088/DirectorioPadre";
"Punto de recarga público operativo tipo Mennekes marca Emerix";;;;"Avda. de la Comunidad Europea";"34004";"Palencia";"1179298104011";;;;;;;"42.005460#-4.509472#88";;;"";1284195514702;20140523;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195514702/DirectorioPadre";
"2 Puntos de recarga 1 Schuko y 1 Mennekes (No simultáneas)";;"Parking privado exterior. Delegación Territorial de Burgos";;"Plaza de Bilbao, 3";"09006";"Burgos";"1179297447397";;;;;;;"42.346924#-3.6870589#94";;;"";1284323321284;20140520;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284323321284/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko";;"Asociación Industrial Polígono San Cristóbal";;"C/Galena, 41";"47012";"Valladolid";"1179469311668";;;;;;;"41.618142#-4.707288#94";;;"";1284195456372;20140619;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195456372/DirectorioPadre";
"2 puntos de recarga exclusivos para clientes operativos de 10:00 a 22.00";;"El Corte Inglés";;"C/María Auxiliadora, 71";"37005";"Salamanca";"1179298323820";;;;;;;"40.973640#-5.657021#88";;;"";1284195511457;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195511457/DirectorioPadre";
"5 Puntos de recarga de uso privado tipo Mennekes";;"VICAUTO S.A.";;"Calle Extremadura, 13";"34004";"Palencia";"1179298104011";;;;;;;"42.0054752#-4.519117#88";;;"";1284332129419;20140618;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284332129419/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko";;"Casa de la India";;"C/ Puente Colgante, 13";"47007";"Valladolid";"1179469313463";;;;;;;"41.640968#-4.732922#88";;;"";1284187835985;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284187835985/DirectorioPadre";
"1 Punto de recarga en parking exterior público tipo Mennekes";;"Parque Tecnológico de Boecillo";;"Plaza del Parque. Las Arroyadas";"47007";"Boecillo";"1179469238603";;;;;;;"41.5184033#-4.7175181#88";;;"";1284335019997;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284335019997/DirectorioPadre";
"Punto de recarga público instalado tipo Mennekes";;"Consejería de Educación";;"Avda. del Real Valladolid";"47014";"Valladolid";"1179469313463";;;;;;;"41.6419267#-4.7472999#88";;;"";1284204187299;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204187299/DirectorioPadre";
"4 puntos de recarga públicos operativos tipo Schuko";;;;"C/ Doctrinos";"47001";"Valladolid";"1179469313463";;;;;;;"41.649226#-4.730062#100";;;"";1284236307558;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284236307558/DirectorioPadre";
"3 puntos de recarga Schuko";;"Centro Desmostrador de Energías Renovables";;"Paseo Papalaguinda, 2";"24004";"León";"1179297861059";;;;;;;"42.595488#-5.578734#88";;;"";1284362562764;20140911;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284362562764/DirectorioPadre";


			

