Fichero actualizado a fecha: 2020-12-20 10:29:57
"Nombre del Organismo";"Descripción";"DatosPersonales";"Dirección";"Calle";"CodigoPostal";"Localidad";"Localidad";"SoloClasificar";"Teléfono";"Telefax oficial";"Fax";"e-mail";"Páginas de internet";"Posicion";"Información adicional";Directorio Superior;Identificador Directorio Superior;Identificador;ultimaActualizacion;Enlace al contenido;
"4 Puntos de recarga de uso público 2 Schuko y 2 Mennekes";;"Centro Comercial Eroski Luz de Castilla";;"C/Guadarrama";"40006";"Segovia";"1179298564796";;;;;;;"40.921526#-4.112386#88";;;"";1284362869681;20140903;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284362869681/DirectorioPadre";
"1 Punto de recarga";;"Parking interior privado. Carrefour";;"Avenida Alcalde Miguel Castaño, 95";"24005";"León";"1179297861059";;;;;;;"42.5857375#-5.55900446#88";;;"";1284236264331;20140521;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284236264331/DirectorioPadre";
"4 puntos de Red de Recarga de Vehículo de uso público, 2 Schuko y 2 Mennekes";;"Centros Benaventano de transportes S.A.";;"Avd. de las Américas,";"49025";"Benavente";"1179469338450";;;;;;;"42.0015613#-5.6612152#112";;;"";1284334260736;20140618;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284334260736/DirectorioPadre";
"2 Puntos de recarga privados, 1 Schuko y 1 Mennekes";;"Gerencia Regional de Salud. Parking exterior privado";;"Paseo de Zorrilla, 1";"47007";"Valladolid";"1179469313463";;;;;;;"41.644332#-4.734421#88";;;"";1284335018221;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284335018221/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko";;"Archivo Municipal";;"C/San Agustín";"47003";"Valladolid";"1179469311668";;;;;;;"41.655857#-4.731101#100";;;"";1284195482586;20140619;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195482586/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko";;;;"Plazuela de la Sal";"34002";"Palencia";"1179298104011";;;;;;;"42.01061551525235#-4.532037377357483#118";;;"";1284195514431;20140521;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195514431/DirectorioPadre";
"3 puntos de recarga de uso privado tipo Schuko y Mennekes";;"VALLADOLID AUTOMOVIL, S.A.";;"Carretera de Madrid, 186";"47008";"Valladolid";"1179469313463";;;;;;;"41.6095813#-4.7257161#94";;;"";1284335034843;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284335034843/DirectorioPadre";
"Punto de recarga público instalado tipo Schuko";;"Centro Deportivo Covaresa (CDO)";;"C/ Felipe Sánchez Román, s/n";"47008";"Valladolid";"1179469313463";;;;;;;"41.612927#-4.749379#100";;;"";1284195460226;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195460226/DirectorioPadre";
"2 puntos de recarga públicos operativos tipo Schuko y Mennekes";;"Feria de Valladolid";;"Avda. Ramón Pradera, s/n";"47003";"Valladolid";"1179469313463";;;;;;;"41.655288#-4.737762#88";;;"";1284187837893;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284187837893/DirectorioPadre";
"3 Puntos de recarga tipo Schuko y Mennekes";;"Plaza del Milenio (Marquesina)";;"C/ Francesco Scrimieri";"47003";"Valladolid";"1179469313769";;;;;;;"41.648677#-4.735903#88";;;"";1284335025115;20140911;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284335025115/DirectorioPadre";
