Ciudades;Distance
A Coru̱a1A Coru̱a1;0
A Coru̱a1A Coru̱a2;1285
A Coru̱a1Albacete1;851015
A Coru̱a1Albacete2;850858
A Coru̱a1Alicante1;1014176
A Coru̱a1Alicante2;1014176
A Coru̱a1Almeria1;1132416
A Coru̱a1Almeria2;1132416
A Coru̱a1Avila1;516856
A Coru̱a1Avila2;516358
A Coru̱a1Badajoz1;650085
A Coru̱a1Badajoz2;653863
A Coru̱a1Barcelona1;1080042
A Coru̱a1Barcelona2;1089960
A Coru̱a1Bilbao1;543020
A Coru̱a1Bilbao2;539532
A Coru̱a1Burgos1;485120
A Coru̱a1Burgos2;483729
A Coru̱a1Caceres1;666402
A Coru̱a1Caceres2;667298
A Coru̱a1Cadiz1;1038349
A Coru̱a1Cadiz2;1038296
A Coru̱a1Castellon1;1012628
A Coru̱a1Castellon2;1012489
A Coru̱a1Ciudad Real1;774886
A Coru̱a1Ciudad Real2;792492
A Coru̱a1Cordoba1;983341
A Coru̱a1Cordoba2;983061
A Coru̱a1Cuenca1;758619
A Coru̱a1Cuenca2;758622
A Coru̱a1Girona1;1164595
A Coru̱a1Girona2;1166640
A Coru̱a1Granada1;1005548
A Coru̱a1Granada2;1002649
A Coru̱a1Guadalajara1;647549
A Coru̱a1Guadalajara2;649544
A Coru̱a1Huelva1;945909
A Coru̱a1Huelva2;944743
A Coru̱a1Huesca1;847875
A Coru̱a1Huesca2;847756
A Coru̱a1Jaen1;920661
A Coru̱a1Jaen2;922895
A Coru̱a1Leon1;312159
A Coru̱a1Leon2;313039
A Coru̱a1Lerida1;927650
A Coru̱a1Lerida2;926081
A Coru̱a1Logrono1;613992
A Coru̱a1Logrono2;613263
A Coru̱a1Lugo1;92432
A Coru̱a1Lugo2;96642
A Coru̱a1Madrid1;594262
A Coru̱a1Madrid2;595944
A Coru̱a1Malaga1;1125583
A Coru̱a1Malaga2;1125008
A Coru̱a1Murcia1;993120
A Coru̱a1Murcia2;993120
A Coru̱a1Ourense1;171354
A Coru̱a1Ourense2;171081
A Coru̱a1Oviedo1;284996
A Coru̱a1Oviedo2;286081
A Coru̱a1Palencia1;425680
A Coru̱a1Palencia2;425150
A Coru̱a1Pamplona1;689002
A Coru̱a1Pamplona2;690581
A Coru̱a1Pontevedra1;135579
A Coru̱a1Pontevedra2;135192
A Coru̱a1Salamanca1;459364
A Coru̱a1Salamanca2;458731
A Coru̱a1San Sebastian1;638309
A Coru̱a1San Sebastian2;638309
A Coru̱a1Santander1;452946
A Coru̱a1Santander2;452644
A Coru̱a1Segovia1;525558
A Coru̱a1Segovia2;524857
A Coru̱a1Sevilla1;921972
A Coru̱a1Sevilla2;919007
A Coru̱a1Soria1;618990
A Coru̱a1Soria2;618777
A Coru̱a1Tarragona1;1011712
A Coru̱a1Tarragona2;1010455
A Coru̱a1Teruel1;894598
A Coru̱a1Teruel2;894598
A Coru̱a1Toledo1;659042
A Coru̱a1Toledo2;656036
A Coru̱a1Valencia1;947232
A Coru̱a1Valencia2;947298
A Coru̱a1Valladolid1;437044
A Coru̱a1Valladolid2;435177
A Coru̱a1Vitoria1;594008
A Coru̱a1Vitoria2;597575
A Coru̱a1Zamora1;393135
A Coru̱a1Zamora2;395279
A Coru̱a1Zaragoza1;777655
A Coru̱a2A Coru̱a1;1159
A Coru̱a2A Coru̱a2;0
A Coru̱a2Albacete1;851339
A Coru̱a2Albacete2;851182
A Coru̱a2Alicante1;1014501
A Coru̱a2Alicante2;1014501
A Coru̱a2Almeria1;1132740
A Coru̱a2Almeria2;1132740
A Coru̱a2Avila1;517180
A Coru̱a2Avila2;516682
A Coru̱a2Badajoz1;650409
A Coru̱a2Badajoz2;654187
A Coru̱a2Barcelona1;1080366
A Coru̱a2Barcelona2;1090284
A Coru̱a2Bilbao1;543344
A Coru̱a2Bilbao2;539856
A Coru̱a2Burgos1;485444
A Coru̱a2Burgos2;484053
A Coru̱a2Caceres1;666726
A Coru̱a2Caceres2;667622
A Coru̱a2Cadiz1;1038673
A Coru̱a2Cadiz2;1038620
A Coru̱a2Castellon1;1012952
A Coru̱a2Castellon2;1012813
A Coru̱a2Ciudad Real1;775210
A Coru̱a2Ciudad Real2;792816
A Coru̱a2Cordoba1;983666
A Coru̱a2Cordoba2;983385
A Coru̱a2Cuenca1;758943
A Coru̱a2Cuenca2;758946
A Coru̱a2Girona1;1164919
A Coru̱a2Girona2;1166964
A Coru̱a2Granada1;1005872
A Coru̱a2Granada2;1002973
A Coru̱a2Guadalajara1;647873
A Coru̱a2Guadalajara2;649868
A Coru̱a2Huelva1;946233
A Coru̱a2Huelva2;945067
A Coru̱a2Huesca1;848199
A Coru̱a2Huesca2;848080
A Coru̱a2Jaen1;920985
A Coru̱a2Jaen2;923219
A Coru̱a2Leon1;312483
A Coru̱a2Leon2;313363
A Coru̱a2Lerida1;927974
A Coru̱a2Lerida2;926405
A Coru̱a2Logrono1;614316
A Coru̱a2Logrono2;613587
A Coru̱a2Lugo1;92756
A Coru̱a2Lugo2;96966
A Coru̱a2Madrid1;594586
A Coru̱a2Madrid2;596268
A Coru̱a2Malaga1;1125907
A Coru̱a2Malaga2;1125332
A Coru̱a2Murcia1;993444
A Coru̱a2Murcia2;993444
A Coru̱a2Ourense1;171678
A Coru̱a2Ourense2;171405
A Coru̱a2Oviedo1;285320
A Coru̱a2Oviedo2;286405
A Coru̱a2Palencia1;426004
A Coru̱a2Palencia2;425474
A Coru̱a2Pamplona1;689326
A Coru̱a2Pamplona2;690905
A Coru̱a2Pontevedra1;135903
A Coru̱a2Pontevedra2;135516
A Coru̱a2Salamanca1;459688
A Coru̱a2Salamanca2;459055
A Coru̱a2San Sebastian1;638633
A Coru̱a2San Sebastian2;638633
A Coru̱a2Santander1;453270
A Coru̱a2Santander2;452968
A Coru̱a2Segovia1;525882
A Coru̱a2Segovia2;525181
A Coru̱a2Sevilla1;922296
A Coru̱a2Sevilla2;919331
A Coru̱a2Soria1;619314
A Coru̱a2Soria2;619101
A Coru̱a2Tarragona1;1012036
A Coru̱a2Tarragona2;1010779
A Coru̱a2Teruel1;894922
A Coru̱a2Teruel2;894922
A Coru̱a2Toledo1;659367
A Coru̱a2Toledo2;656360
A Coru̱a2Valencia1;947556
A Coru̱a2Valencia2;947622
A Coru̱a2Valladolid1;437368
A Coru̱a2Valladolid2;435501
A Coru̱a2Vitoria1;594332
A Coru̱a2Vitoria2;597900
A Coru̱a2Zamora1;393459
A Coru̱a2Zamora2;395603
A Coru̱a2Zaragoza1;777979
Albacete1A Coru̱a1;851371
Albacete1A Coru̱a2;852033
Albacete1Albacete1;0
Albacete1Albacete2;150
Albacete1Alicante1;165765
Albacete1Alicante2;165765
Albacete1Almeria1;353629
Albacete1Almeria2;353629
Albacete1Avila1;370757
Albacete1Avila2;370259
Albacete1Badajoz1;528873
Albacete1Badajoz2;524049
Albacete1Barcelona1;542177
Albacete1Barcelona2;547186
Albacete1Bilbao1;640849
Albacete1Bilbao2;643123
Albacete1Burgos1;491996
Albacete1Burgos2;486040
Albacete1Caceres1;510915
Albacete1Caceres2;511811
Albacete1Cadiz1;640938
Albacete1Cadiz2;640885
Albacete1Castellon1;268478
Albacete1Castellon2;268339
Albacete1Ciudad Real1;219222
Albacete1Ciudad Real2;219399
Albacete1Cordoba1;389396
Albacete1Cordoba2;389115
Albacete1Cuenca1;144351
Albacete1Cuenca2;144113
Albacete1Girona1;636752
Albacete1Girona2;638797
Albacete1Granada1;411603
Albacete1Granada2;408703
Albacete1Guadalajara1;289936
Albacete1Guadalajara2;289625
Albacete1Huelva1;620957
Albacete1Huelva2;619324
Albacete1Huesca1;456226
Albacete1Huesca2;456106
Albacete1Jaen1;326715
Albacete1Jaen2;328949
Albacete1Leon1;597975
Albacete1Leon2;597588
Albacete1Lerida1;507023
Albacete1Lerida2;505454
Albacete1Logrono1;559689
Albacete1Logrono2;558961
Albacete1Lugo1;761659
Albacete1Lugo2;760363
Albacete1Madrid1;254850
Albacete1Madrid2;253766
Albacete1Malaga1;531637
Albacete1Malaga2;531062
Albacete1Murcia1;144709
Albacete1Murcia2;144709
Albacete1Ourense1;763336
Albacete1Ourense2;763715
Albacete1Oviedo1;711599
Albacete1Oviedo2;708868
Albacete1Palencia1;522232
Albacete1Palencia2;524281
Albacete1Pamplona1;624648
Albacete1Pamplona2;621142
Albacete1Pontevedra1;874021
Albacete1Pontevedra2;873634
Albacete1Salamanca1;475384
Albacete1Salamanca2;476749
Albacete1San Sebastian1;696690
Albacete1San Sebastian2;696690
Albacete1Santander1;698788
Albacete1Santander2;698486
Albacete1Segovia1;352411
Albacete1Segovia2;353745
Albacete1Sevilla1;521698
Albacete1Sevilla2;525444
Albacete1Soria1;457757
Albacete1Soria2;460025
Albacete1Tarragona1;452998
Albacete1Tarragona2;451305
Albacete1Teruel1;209151
Albacete1Teruel2;209151
Albacete1Toledo1;247735
Albacete1Toledo2;249666
Albacete1Valencia1;185025
Albacete1Valencia2;188256
Albacete1Valladolid1;450238
Albacete1Valladolid2;450044
Albacete1Vitoria1;596524
Albacete1Vitoria2;600092
Albacete1Zamora1;515572
Albacete1Zamora2;513981
Albacete1Zaragoza1;387210
Albacete2A Coru̱a1;851215
Albacete2A Coru̱a2;851876
Albacete2Albacete1;150
Albacete2Albacete2;0
Albacete2Alicante1;165608
Albacete2Alicante2;165608
Albacete2Almeria1;353472
Albacete2Almeria2;353472
Albacete2Avila1;370600
Albacete2Avila2;370103
Albacete2Badajoz1;528717
Albacete2Badajoz2;523892
Albacete2Barcelona1;542020
Albacete2Barcelona2;547029
Albacete2Bilbao1;640693
Albacete2Bilbao2;642966
Albacete2Burgos1;491839
Albacete2Burgos2;485883
Albacete2Caceres1;510758
Albacete2Caceres2;511654
Albacete2Cadiz1;640782
Albacete2Cadiz2;640728
Albacete2Castellon1;268321
Albacete2Castellon2;268182
Albacete2Ciudad Real1;219065
Albacete2Ciudad Real2;219242
Albacete2Cordoba1;389239
Albacete2Cordoba2;388958
Albacete2Cuenca1;144194
Albacete2Cuenca2;143956
Albacete2Girona1;636595
Albacete2Girona2;638640
Albacete2Granada1;411446
Albacete2Granada2;408546
Albacete2Guadalajara1;289779
Albacete2Guadalajara2;289468
Albacete2Huelva1;620800
Albacete2Huelva2;619167
Albacete2Huesca1;456069
Albacete2Huesca2;455949
Albacete2Jaen1;326558
Albacete2Jaen2;328792
Albacete2Leon1;597818
Albacete2Leon2;597431
Albacete2Lerida1;506866
Albacete2Lerida2;505297
Albacete2Logrono1;559532
Albacete2Logrono2;558804
Albacete2Lugo1;761502
Albacete2Lugo2;760206
Albacete2Madrid1;254693
Albacete2Madrid2;253609
Albacete2Malaga1;531481
Albacete2Malaga2;530906
Albacete2Murcia1;144552
Albacete2Murcia2;144552
Albacete2Ourense1;763179
Albacete2Ourense2;763558
Albacete2Oviedo1;711442
Albacete2Oviedo2;708711
Albacete2Palencia1;522075
Albacete2Palencia2;524124
Albacete2Pamplona1;624491
Albacete2Pamplona2;620986
