X;Y;descripcion
729344.904;4372135.54;Punto de recarga rápida Martí Grajales
730144.947;4371887.672;Punto de recarga rápida Eugenia Viñes
729993.188;4372869.951;Punto de recarga rápida Acequia de la Cadena
726403.927;4372169.213;Aparcamiento Mercado Colón
725385.549;4372345.733;Aparcamiento Hospital-Vinatea
724818.662;4370980.59399999958;Aparcamiento Jerónimo Muñoz
727302.051;4372306.019;Aparcamiento Chile
726633.781;4372019.409;Aparcamiento Conde Altea-Salamanca
