id,Provincia,Direccion,Latitud,Longitud,Coordenadas
Oviedo Bus,Oviedo,Estacion de Autobuses de Oviedo,43.3694984,-5.8507299,"43.3694984,-5.8507299"
Palencia Tren,Palencia,Estacion de Palencia,42.0156961,-4.5339163,"42.0156961,-4.5339163"
Palencia Bus,Palencia,Estacion de Autobuses de Palencia,42.016319,-4.5361749,"42.016319,-4.5361749"
Pamplona Tren,Pamplona,Estacion de Pamplona,42.8249816,-1.6614326,"42.8249816,-1.6614326"
Pamplona Bus,Pamplona,Estacion de Autobuses de Pamplona,42.8120111,-1.6456075,"42.8120111,-1.6456075"
Pontevedra Tren,Pontevedra,Estacion de Pontevedra,42.4217656,-8.6358269,"42.4217656,-8.6358269"
Pontevedra Bus,Pontevedra,Estacion de Autobuses de Pontevedra,42.4211083,-8.637262999999999,"42.4211083,-8.637262999999999"
Salamanca Tren,Salamanca,Estacion de Salamanca,40.9721256,-5.648571599999999,"40.9721256,-5.648571599999999"
Salamanca Bus,Salamanca,Estacion de Autobuses de Salamanca,40.9703117,-5.674898499999999,"40.9703117,-5.674898499999999"
San Sebastian Tren,San Sebastian,Estacion de San Sebastian,43.3175199,-1.9774054,"43.3175199,-1.9774054"
Santander Tren,Santander,Estacion de Santander,43.459149,-3.811547,"43.459149,-3.811547"
Santander Bus,Santander,Estacion de Autobuses de Santander,43.459518,-3.80968,"43.459518,-3.80968"
Segovia Tren,Segovia,Estacion de Segovia,40.9342339,-4.1135259,"40.9342339,-4.1135259"
Segovia Bus,Segovia,Estacion de Autobuses de Segovia,40.9451164,-4.1219838,"40.9451164,-4.1219838"
Sevilla Tren,Sevilla,Estacion de Sevilla,37.391863,-5.975339,"37.391863,-5.975339"
Sevilla Bus,Sevilla,Estacion de Autobuses de Sevilla,37.3918712,-6.003953099999999,"37.3918712,-6.003953099999999"
Soria Tren,Soria,Estacion de Soria,41.754754,-2.476537,"41.754754,-2.476537"
Soria Bus,Soria,Estacion de Autobuses de Soria,41.7670715,-2.4793088,"41.7670715,-2.4793088"
Tarragona Tren,Tarragona,Estacion de Tarragona,41.1115805,1.2531168,"41.1115805,1.2531168"
Tarragona Bus,Tarragona,Estacion de Autobuses de Tarragona,41.1182497,1.2442946,"41.1182497,1.2442946"
Teruel Tren,Teruel,Estacion de Teruel,40.341817,-1.1044234,"40.341817,-1.1044234"
