Origen;Destino;Distance_m;Distance_km
A Coru̱a Tren;A Coru̱a Tren;0;0.0
A Coru̱a Tren;A Coru̱a Bus;1285;1.285
A Coru̱a Tren;Albacete Tren;851015;851.015
A Coru̱a Tren;Albacete Bus;850858;850.858
A Coru̱a Tren;Alicante Tren;1015157;1015.157
A Coru̱a Tren;Alicante Bus;1014176;1014.176
A Coru̱a Tren;Almeria Tren;1132416;1132.416
A Coru̱a Tren;Avila Tren;516856;516.856
A Coru̱a Tren;Avila Bus;516358;516.358
A Coru̱a Tren;Badajoz Tren;650085;650.085
A Coru̱a Tren;Badajoz Bus;653863;653.863
A Coru̱a Tren;Barcelona Tren;1080042;1080.042
A Coru̱a Tren;Barcelona Bus;1089960;1089.96
A Coru̱a Tren;Bilbao Tren;543020;543.02
A Coru̱a Tren;Bilbao Bus;539532;539.532
A Coru̱a Tren;Burgos Tren;485120;485.12
A Coru̱a Tren;Burgos Bus;483729;483.729
A Coru̱a Tren;Caceres Tren;666402;666.402
A Coru̱a Tren;Caceres Bus;667298;667.298
A Coru̱a Tren;Cadiz Tren;1038349;1038.349
A Coru̱a Tren;Cadiz Bus;1038296;1038.296
A Coru̱a Tren;Castellon Tren;1012628;1012.628
A Coru̱a Tren;Castellon Bus;1012489;1012.489
A Coru̱a Tren;Ciudad Real Tren;774886;774.886
A Coru̱a Tren;Ciudad Real Bus;792492;792.492
A Coru̱a Tren;Cordoba Tren;983341;983.341
A Coru̱a Tren;Cordoba Bus;983061;983.061
A Coru̱a Tren;Cuenca Tren;758619;758.619
A Coru̱a Tren;Cuenca Bus;758622;758.622
A Coru̱a Tren;Girona Tren;1164595;1164.595
A Coru̱a Tren;Girona Bus;1166640;1166.64
A Coru̱a Tren;Granada Tren;1005548;1005.548
A Coru̱a Tren;Granada Bus;1002649;1002.649
A Coru̱a Tren;Guadalajara Tren;647549;647.549
A Coru̱a Tren;Guadalajara Bus;649544;649.544
A Coru̱a Tren;Huelva Tren;945909;945.909
A Coru̱a Tren;Huelva Bus;944743;944.743
A Coru̱a Tren;Huesca Tren;847875;847.875
A Coru̱a Tren;Huesca Bus;847756;847.756
A Coru̱a Tren;Jaen Tren;920661;920.661
A Coru̱a Tren;Jaen Bus;922895;922.895
A Coru̱a Tren;Leon Tren;312159;312.159
A Coru̱a Tren;Leon Bus;313039;313.039
A Coru̱a Tren;Lerida Tren;927650;927.65
A Coru̱a Tren;Lerida Bus;926081;926.081
A Coru̱a Tren;Logrono Tren;613992;613.992
A Coru̱a Tren;Logrono Bus;613263;613.263
A Coru̱a Tren;Lugo Tren;92432;92.432
A Coru̱a Tren;Lugo Bus;96642;96.642
A Coru̱a Tren;Madrid Tren;594262;594.262
A Coru̱a Tren;Madrid Bus;595944;595.944
A Coru̱a Tren;Malaga Tren;1125583;1125.583
A Coru̱a Tren;Malaga Bus;1125008;1125.008
A Coru̱a Tren;Murcia Tren;993894;993.894
A Coru̱a Tren;Murcia Bus;994021;994.021
A Coru̱a Tren;Ourense Tren;171354;171.354
A Coru̱a Tren;Ourense Bus;171081;171.081
A Coru̱a Tren;Oviedo Tren;284996;284.996
A Coru̱a Tren;Oviedo Bus;286081;286.081
A Coru̱a Tren;Palencia Tren;425680;425.68
A Coru̱a Tren;Palencia Bus;425150;425.15
A Coru̱a Tren;Pamplona Tren;689002;689.002
A Coru̱a Tren;Pamplona Bus;690581;690.581
A Coru̱a Tren;Pontevedra Tren;135579;135.579
A Coru̱a Tren;Pontevedra Bus;135192;135.192
A Coru̱a Tren;Salamanca Tren;459364;459.364
A Coru̱a Tren;Salamanca Bus;458731;458.731
A Coru̱a Tren;San Sebastian Tren;638309;638.309
A Coru̱a Tren;Santander Tren;452946;452.946
A Coru̱a Tren;Santander Bus;452644;452.644
A Coru̱a Tren;Segovia Tren;525558;525.558
A Coru̱a Tren;Segovia Bus;524857;524.857
A Coru̱a Tren;Sevilla Tren;921972;921.972
A Coru̱a Tren;Sevilla Bus;919007;919.007
A Coru̱a Tren;Soria Tren;618990;618.99
A Coru̱a Tren;Soria Bus;618777;618.777
A Coru̱a Tren;Tarragona Tren;1011712;1011.712
A Coru̱a Tren;Tarragona Bus;1010455;1010.455
A Coru̱a Tren;Teruel Tren;894598;894.598
A Coru̱a Tren;Teruel Bus;894598;894.598
A Coru̱a Tren;Toledo Tren;659042;659.042
A Coru̱a Tren;Toledo Bus;656036;656.036
A Coru̱a Tren;Valencia Tren;947232;947.232
A Coru̱a Tren;Valencia Bus;947298;947.298
A Coru̱a Tren;Valladolid Tren;437044;437.044
A Coru̱a Tren;Valladolid Bus;435177;435.177
A Coru̱a Tren;Vitoria Tren;594008;594.008
A Coru̱a Tren;Vitoria Bus;597575;597.575
A Coru̱a Tren;Zamora Tren;393135;393.135
A Coru̱a Tren;Zamora Bus;395279;395.279
A Coru̱a Tren;Zaragoza Tren;777655;777.655
A Coru̱a Bus;A Coru̱a Tren;1159;1.159
A Coru̱a Bus;A Coru̱a Bus;0;0.0
A Coru̱a Bus;Albacete Tren;851339;851.339
A Coru̱a Bus;Albacete Bus;851182;851.182
A Coru̱a Bus;Alicante Tren;1015481;1015.481
A Coru̱a Bus;Alicante Bus;1014501;1014.501
A Coru̱a Bus;Almeria Tren;1132740;1132.74
