business_status,formatted_address,icon,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,photos,permanently_closed,price_level
OPERATIONAL,"Av de Sor Teresa Prat, 11, 29003 Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,ChIJJ-448X_3cg0R2lSoEcTJESw,4.3,ChIJJ-448X_3cg0R2lSoEcTJESw,"['point_of_interest', 'establishment']",16,36.7003502,-4.4391644999999995,36.701672479892714,-4.437756170107278,36.69897282010729,-4.440455829892722,True,PH26+48 Málaga,8C8QPH26+48,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110172937302654199039"">Jesús Pérez</a>'], 'photo_reference': 'ATtYBwJJy44-lyMwgSbLV5mmxgLYZReZr2USsddtbDLn55yq5GTWQggC6kf7Ga6fYuopDJeURASEGdPF87QujfGsOWJnY-ovePuJT8OkHklntetP-gD6pqkOd1cP4MZxoEQQjTANM91UebWi28Xue9AbjysrzN9GXz1z50D88n9XYpVwmDWr', 'width': 3648}]",,
OPERATIONAL,"06200 Almendralejo, Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EasyCharger Estación de carga,ChIJZ8f-nEUdFA0RRFmdH1gK1wk,5.0,ChIJZ8f-nEUdFA0RRFmdH1gK1wk,"['point_of_interest', 'establishment']",1,38.7099152,-6.400288700000001,38.71122867989271,-6.398793370107278,38.708529020107285,-6.401493029892722,True,PH5X+XV Almendralejo,8CCMPH5X+XV,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104224665181008969830"">Adrián Calvo Hallé</a>'], 'photo_reference': 'ATtYBwJDwNcpgPPXgXHQw2YrOVuapRPXDl9jciXNJ_1T0ttEyuZnkdxi7-nRpEpOcHM54e8OBekCL-5e3amu07qmDJ1ciaqEHcVWkW_qgjheyFrUUkrDxzTDXqGs5osqJeVFeq-FnenIk3ahFfRQuS-I7F2MDwBcaamM5-2lmFgmHJ4A9su_', 'width': 4608}]",,
OPERATIONAL,"Calle Andalucía, 169, 34004 Palencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Charging Station,ChIJ77A_9NexRw0R8LpgPLjlFro,0.0,ChIJ77A_9NexRw0R8LpgPLjlFro,"['point_of_interest', 'establishment']",0,41.990766,-4.511121,41.992165079892715,-4.5098091201072785,41.98946542010727,-4.5125087798927215,True,XFRQ+8H Palencia,8CHQXFRQ+8H,,,
OPERATIONAL,"Calle Betis, 41010 Sevilla",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJ8Q2mYRNsEg0RIy2q1T49xJU,0.0,ChIJ8Q2mYRNsEg0RIy2q1T49xJU,"['point_of_interest', 'establishment']",0,37.385515999999996,-6.002879,37.38681762989272,-6.001466820107278,37.384117970107276,-6.004166479892723,True,9XPW+6R Sevilla,8C9M9XPW+6R,,,
OPERATIONAL,"Av. de Velázquez, 389, 29004 Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJwcRetCv6cg0R6qyIUHG0Ny0,4.5,ChIJwcRetCv6cg0R6qyIUHG0Ny0,"['point_of_interest', 'establishment']",2,36.658543,-4.4827249999999985,36.659899829892716,-4.481356770107277,36.65720017010728,-4.484056429892722,True,MG58+CW Málaga,8C8QMG58+CW,"[{'height': 679, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109185068800590779382"">Javi Mendez</a>'], 'photo_reference': 'ATtYBwKAlWPO07XhkPKi792y_21579pX9vHVYiv8QHOOBf8FwlS2VZCiXoERjKypkHphtDnuq95Xei9d2OWp00H6-70ee8kqtRKZP8nLiPJBqNg2e5-_WyVxFJEUwECKT3L43wAttqB5ax5tWh1eNeGs_DEc47LeDyvF0_NoeyMLwMl04Te_', 'width': 800}]",,
OPERATIONAL,"Calle Sócrates, 0, 18002 Granada",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJi8tO7JT8cQ0RYhFzC6cRqpo,5.0,ChIJi8tO7JT8cQ0RYhFzC6cRqpo,"['point_of_interest', 'establishment']",1,37.176527,-3.6051019999999996,37.17769832989271,-3.6035653701072783,37.174998670107286,-3.6062650298927217,True,59GV+JX Granada,8C9R59GV+JX,,,
OPERATIONAL,"Calle Cordoba, 15, 41550 Aguadulce, Sevilla",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Supercharger,ChIJqcUJ--dVbQ0RR1q6LRGVEXc,4.0,ChIJqcUJ--dVbQ0RR1q6LRGVEXc,"['point_of_interest', 'establishment']",1,37.256868299999994,-4.986181299999999,37.25821557989271,-4.984894920107278,37.25551592010727,-4.987594579892722,True,7247+PG Aguadulce,8C9Q7247+PG,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114422140102254366751"">Loren Serrano</a>'], 'photo_reference': 'ATtYBwJDwswZbNQxNifIgL1lUcgqg0jPE7E7-vNxAWCQD3Ns455b-3Vc18qLYus9nTlR3KMZJyFNQmE8mhtC_X7cnMn2PPJIwGmOduZyMtlA0GNTwukmrqtTU_F-KUcJqIYsR4V4utPfSIvU7SK6C3_VpbXnmWdPxCHfbjU5uWbHQYkRF3Ln', 'width': 4032}]",,
OPERATIONAL,"Carretera N-iv K-173,100, 29, 13200 Manzanares, Cdad. Real",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Supercharger,ChIJEeZz4YsUaQ0RlPlHUv6vY6E,4.4,ChIJEeZz4YsUaQ0RlPlHUv6vY6E,"['point_of_interest', 'establishment']",38,39.0063666,-3.3832406,39.00775397989272,-3.381922020107277,39.005054320107284,-3.384621679892722,True,2J48+GP Manzanares,8CFR2J48+GP,"[{'height': 5472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112198127118664823617"">Andres lazaroth nuñez</a>'], 'photo_reference': 'ATtYBwKI1J_nof8uresrlxOvuwHQ8Wcj1tY_i95tg6geWXbCD7LBPVHnjeDVMySG-W0LRWCYmoJNMl8JBAPQx1mZzSo_HC-2bOoOvZwshJbhNH4imHFDz9XjeKiW5AlO56JOdtonigTQQqpscj_HLYurvPCMlULjMXjglOSCng7n0-MD213p', 'width': 7296}]",,
OPERATIONAL,30008 Murcia,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Estación de carga,ChIJXZc_rNWDYw0RqnMtrvtbODI,0.0,ChIJXZc_rNWDYw0RqnMtrvtbODI,"['point_of_interest', 'establishment']",0,37.992965500000004,-1.1303944,37.99430302989273,-1.1291245201072782,37.991603370107285,-1.131824179892722,True,XVV9+5R Murcia,8C9WXVV9+5R,"[{'height': 1846, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106136176963979644548"">Toto Olmos</a>'], 'photo_reference': 'ATtYBwJ3dyGcX4TsuRh5Ryhf8NX_8Op_2c1JlmDcZWmvJeVC88U42u6HEyHHTHFBZ2F0lgjmJkmp_lT7isQS6LEelPp8qrmy3e2nE_Go8GIEwz2RBHKrfBvPU9U-okP1Ndly1MOlCPWsPdkZGDPjIxTLdrtoSu1qMqxlU1Uq-OlmmoRI7_Af', 'width': 4000}]",,
OPERATIONAL,"Avenida Andalucía, S/N, 18015 Granada",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,Concesionario Renault Japemasa,ChIJO82SbFb8cQ0RhwFTVSkIpWk,4.3,ChIJO82SbFb8cQ0RhwFTVSkIpWk,"['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",704,37.198289,-3.6367910000000006,37.19958867989271,-3.635449570107278,37.19688902010727,-3.6381492298927216,False,59X7+87 Granada,8C9R59X7+87,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106794455781078144683"">A Google User</a>'], 'photo_reference': 'ATtYBwKxH2VC4bx5LJ56if5oJF1GKomT6f5onUME8DRGvbgpvt43wgGHzvFDgGTtSxQpICNiCG-LIWMPv3-9bbfnkpccnRF8ck28807omkoWPNJD7ajcoKatl9iac0n1QUB0g_5dp8j0NiSpHkafOTIRzE7EdQMEy8I3IVcHoufCiP3Lsn3O', 'width': 4160}]",,
