business_status,formatted_address,icon,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,opening_hours.open_now,permanently_closed
OPERATIONAL,"Av. Pamplona, 2, 31192 Mutilva Baja, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104502158353773809995"">ARTURO M.B.</a>'], 'photo_reference': 'ATtYBwLxuhtg_EWgygKun-a2QPkZ8z3KjXNrQfO_YwZ9yF3EKZ0zXhQ6SgmGyDRSsdy5DCGvI1736vKK4J-Y-J9wexaPL4m3PKY8KTzCNXwYrr0n-ijOTMgII193H8F0wd6xdsteVnxb5WQDWcKFHMaTS9KWdW3w0nrjnUUeijm-VUZ1wIVC', 'width': 640}]",ChIJ9RR7siKTUA0RQqdc1rJbn-Y,0.0,ChIJ9RR7siKTUA0RQqdc1rJbn-Y,"['point_of_interest', 'establishment']",0,42.789829,-1.6176976,42.79117437989272,-1.616309870107278,42.78847472010727,-1.619009529892722,Q9QJ+WW Mutilva Baja,8CJWQ9QJ+WW,,
OPERATIONAL,"Av. San Ignacio, 10, 31002 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Estación de carga,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106168937940612287559"">Krasimir Angelov</a>'], 'photo_reference': 'ATtYBwKOzjdgPcbHh8mB3Alo2S6kBk58TJFbx3rus-I3G6yv1wfyDp3V1Ds8ZlczMEoJKh23gOBlKoxJaQ5EC1lD9t32Tztgo-4bEoqMcLMs6E7dITKKEghULyveayLsu-NakaFkA83auA6Uqs2BxmXlJGAZFtQ6I57qJ_21SnprVcBbv3ZP', 'width': 3024}]",ChIJk4-_vviSUA0RyJDYO7z4MAo,0.0,ChIJk4-_vviSUA0RyJDYO7z4MAo,"['point_of_interest', 'establishment']",0,42.8140125,-1.6430653,42.81536457989272,-1.641691470107278,42.81266492010728,-1.644391129892722,R974+JQ Pamplona,8CJWR974+JQ,True,
OPERATIONAL,"31013 Berriozar, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106168937940612287559"">Krasimir Angelov</a>'], 'photo_reference': 'ATtYBwJQywLDVrPE0qwW7d06rTQ3OhrpP5USR0iqewo7WmUDHrzXsE4T8lMiFlmj-2NV4TxVp6fYN_T--G2fEGbP95upGcNSB8dvMHggO7BNoshjgEcYDk19tDSGoyCF0tLl1wjUWnVqgyPgwOQkxxq3qjdDystNlAj9I1N4EiTRBBKqsFpr', 'width': 4032}]",ChIJVfTDnJiSUA0RwRP5b7PyDwo,0.0,ChIJVfTDnJiSUA0RwRP5b7PyDwo,"['point_of_interest', 'establishment']",0,42.8317179,-1.669251,42.83305217989273,-1.667932470107278,42.83035252010728,-1.670632129892722,R8JJ+M7 Berriozar,8CJWR8JJ+M7,,
OPERATIONAL,"Av. Juan Pablo II, 4, 31006 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,,ChIJv0eC-q-TUA0RIC8U1SuCBj0,5.0,ChIJv0eC-q-TUA0RIC8U1SuCBj0,"['point_of_interest', 'establishment']",1,42.8041,-1.628,42.80552717989272,-1.626519320107278,42.80282752010728,-1.629218979892722,R93C+JR Pamplona,8CJWR93C+JR,True,
OPERATIONAL,"Calle Zaldibide, 2, 31191 Salinas de Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Feníe Energía Estación de carga,"[{'height': 778, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112909164914339873067"">Jordi CiS</a>'], 'photo_reference': 'ATtYBwLwW0sgvt_e9QSAzOpuf24AdqFf75ru54DD1jiIdfeLFvcALkQlvaVoa6LF8P-eNsxdjItKl45-kO4ciwR7rNhhaziCVU6RnijtGJzsN4tVTCm3bHq6YVoR-RaY7w7nMfFhyH06t3n0_pLYrici1TIxfb2EPEYUM3-Ku16OKkr-bM6t', 'width': 663}]",ChIJ91dA1KuRUA0RbncerdFsKXg,5.0,ChIJ91dA1KuRUA0RbncerdFsKXg,"['point_of_interest', 'establishment']",1,42.7530077,-1.6498365,42.75437352989272,-1.648556920107278,42.75167387010728,-1.651256579892722,Q932+63 Salinas de Pamplona,8CJWQ932+63,True,
OPERATIONAL,"Av del Este, 1, 31119 Noáin, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,,ChIJDQsn1N6QUA0RcPA8DhiKpa0,0.0,ChIJDQsn1N6QUA0RcPA8DhiKpa0,"['point_of_interest', 'establishment']",0,42.732734,-1.613247,42.73385947989272,-1.611866820107278,42.73115982010728,-1.614566479892722,P9MP+3P Noáin,8CJWP9MP+3P,True,
OPERATIONAL,"Ctra. Corella, 31500 Tudela, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,,ChIJIe5QKGFPWg0Rtn9kcMfFnAg,0.0,ChIJIe5QKGFPWg0Rtn9kcMfFnAg,"['point_of_interest', 'establishment']",0,42.06233100000001,-1.620353,42.06365587989273,-1.619013220107278,42.06095622010729,-1.621712879892722,396H+WV Tudela,8CJW396H+WV,True,
OPERATIONAL,"Av. San Ignacio, 4, 31002 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Endesa Estación de carga de vehículos eléctricos,,ChIJiz0Y3viSUA0RCgsdWwkm0UA,0.0,ChIJiz0Y3viSUA0RCgsdWwkm0UA,"['point_of_interest', 'establishment']",0,42.815243,-1.643249,42.81655972989272,-1.641848920107278,42.81386007010727,-1.644548579892722,R984+3P Pamplona,8CJWR984+3P,True,
OPERATIONAL,"Calle Soto Aizoáin, 2-064, 31013 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106168937940612287559"">Krasimir Angelov</a>'], 'photo_reference': 'ATtYBwLZB7gUOjfzIWzP8XViFY8Jo-wsKAjBd4R2xCBg_K7nTSMEatXB3sGY5vhcnrCN_j8DU4X555kGszcFjmTrIBH7SHGX4uAFL_q2ez5RifnloZXXzy84DUQPj2ddsWy-wEycn4qb9VAR1EubZbp6K-rtGeqzFmEpKv1LpUXn01Hptctv', 'width': 4032}]",ChIJSV0b9l6NUA0RfAIE0NyvPnk,0.0,ChIJSV0b9l6NUA0RfAIE0NyvPnk,"['point_of_interest', 'establishment']",0,42.83447750000001,-1.6793673,42.83587607989273,-1.677964920107278,42.83317642010729,-1.680664579892722,R8MC+Q7 Pamplona,8CJWR8MC+Q7,True,
OPERATIONAL,"Calle Garajonai, 31621 Sarriguren, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104502158353773809995"">ARTURO M.B.</a>'], 'photo_reference': 'ATtYBwItuniNaMXEK4XvJ7obmvSWVRjg0THr4ZRHa4KsTAUE8SfFxu0RbKVQb0UVHw6Nt7eaiR0VvzAYDSa3d_wXwsxO1glaYlWuKrRGuf8GkfQlirF4tDCh6-1BtVspBImhfV61lZbYVVmnSfFG5eKqKNEDL_MP2xNwvsaTPZROyy80N0Ro', 'width': 3024}]",ChIJA4SdaSOVUA0Rg0kGlBFmygY,5.0,ChIJA4SdaSOVUA0Rg0kGlBFmygY,"['point_of_interest', 'establishment']",1,42.81324559999999,-1.5963747,42.81459027989272,-1.595071420107278,42.81189062010728,-1.597771079892722,RC73+7F Sarriguren,8CJWRC73+7F,,
