id;latitude;longitude;name;streetName;provincia;ccaa;postalCode;connectorType;ratedPowerKW;num_connectors
punto_recarga_38;37.3871876;-5.9458237;Sevilla Avenida de Kansas City;Avenida de Kansas City;Seville;Andalusia;41007;IEC62196Type2Outlet;22.2;1
punto_recarga_39;37.464864;-5.342735999999999;Tesla Sevilla;;Seville;Andalusia;41020;Tesla;;1
punto_recarga_40;37.2144208;-4.777266300000001;La Carlota Avenida de Carlos III;Avenida de Carlos III;Cordova;Andalusia;14100;['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2Outlet'];[25, 25, 22.2];3
punto_recarga_41;37.391138500000004;-5.9754708;Iberdrola Sevilla Calle Campamento;Calle Campamento;Seville;Andalusia;41018;['IEC62196Type2Outlet', 'IEC62196Type2Outlet'];[22.2, 11.1];2
punto_recarga_42;37.391863;-5.975339;Sevilla Avenida de Andalucía;Avenida de Andalucía;Seville;Andalusia;41007;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[3.7, 3.7];2
punto_recarga_43;37.3870273;-5.9350013;Nissan Sevilla Carretera de Su Eminencia;Carretera de Su Eminencia;Seville;Andalusia;41006;Chademo;50;1
punto_recarga_44;43.4102385;-3.4128642;Castro-Urdiales;;Cantabria;Cantabria;39700;IEC62196Type2Outlet;22.2;1
punto_recarga_45;40.2903543;-3.6963012;Getafe Camino Viejo de Toledo;Camino Viejo de Toledo;Madrid;Community of Madrid;28905;IEC62196Type2Outlet;7.4;1
punto_recarga_46;40.1201168;-3.1522568;Iberdrola Rivas-Vaciamadrid Calle de Severo Ochoa;Calle de Severo Ochoa;Madrid;Community of Madrid;28521;['Chademo', 'IEC62196Type2Outlet', 'IEC62196Type2CCS'];[50, 22.2, 50];3
punto_recarga_47;40.434275899999996;-3.670748;Madrid Calle Castelló;Calle Castelló;Madrid;Community of Madrid;28006;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[7.4, 3.7];2
punto_recarga_48;40.292186;-3.7981769999999995;Renault Leganés Avenida de Carlos Sáinz;Avenida de Carlos Sáinz;Madrid;Community of Madrid;28914;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[3.7, 2.8];2
punto_recarga_49;40.48154810000001;-3.3608592000000006;Alcalá de Henares Avenida Juan Carlos I;Avenida Juan Carlos I;Madrid;Community of Madrid;28806;StandardHouseholdCountrySpecific;3.7;1
punto_recarga_50;38.8745699;-6.954619900000001;Badajoz Calle de la Bomba;Calle de la Bomba;Badajoz;Extremadura;06004;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_51;38.7099152;-6.400288700000001;Mérida Calle del Calvario;Calle del Calvario;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_52;38.093548;-6.276211;La Rinconada Calle Miguel Servet;Calle Miguel Servet;Seville;Andalusia;41300;IEC62196Type2Outlet;22.2;1
punto_recarga_53;38.921110799999994;-6.3757005;Mérida Calle Cabo Verde;Calle Cabo Verde;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_54;38.8851783;-7.021799400000001;Badajoz Avenida de Ramón y Cajal;Avenida de Ramón y Cajal;Badajoz;Extremadura;06001;IEC62196Type2Outlet;2.8;1
punto_recarga_55;38.920492100000004;-6.3406037;Mérida Avenida de la Libertad;Avenida de la Libertad;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_56;38.8944266;-6.3865652000000015;Mérida Calle Cabo Verde;Calle Cabo Verde;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_57;38.3048287;-5.5942777;Tesla Córdoba Avenida de la Arruzafa;Avenida de la Arruzafa;Cordova;Andalusia;14012;Tesla;;1
punto_recarga_58;38.86095570000001;-6.454535799999999;Mérida Calle Cabo Verde;Calle Cabo Verde;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_59;38.729667;-5.545652;Mérida Avenida de Rabo de Buey;Avenida de Rabo de Buey;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_60;38.8838177;-7.0223014999999975;Badajoz Avenida de Ram��n y Cajal;Avenida de Ramón y Cajal;Badajoz;Extremadura;06001;IEC62196Type2Outlet;2.8;1
punto_recarga_61;38.9213911;-6.343072900000001;Mérida Avenida de la Libertad;Avenida de la Libertad;Badajoz;Extremadura;06800;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_62;41.990766;-4.511121;Palencia Calle del Becerro de Bengoa;Calle del Becerro de Bengoa;Palencia;Castille & Leon;34002;IEC62196Type2Outlet;7.4;1
punto_recarga_63;42.013238799999996;-4.5337654;Palencia;;Palencia;Castille & Leon;34005;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[3.7, 3.7];2
punto_recarga_64;42.004862;-4.518477;Palencia Calle del Becerro de Bengoa;Calle del Becerro de Bengoa;Palencia;Castille & Leon;34002;IEC62196Type2Outlet;7.4;1
punto_recarga_65;39.0063666;-3.3832406;Santa Cruz de Mudela Autovía del Sur;Autovía del Sur;Ciudad Real;Castille-La Mancha;13730;['Chademo', 'IEC62196Type2Outlet', 'IEC62196Type2CCS'];[25, 22.2, 25];3
punto_recarga_66;39.250521899999995;-3.430358;Pedro Muñoz;;Ciudad Real;Castille-La Mancha;13620;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_67;38.9873468;-3.914091200000001;Valdepeñas Calle Bodegas Megía;Calle Bodegas Megía;Ciudad Real;Castille-La Mancha;13300;IEC62196Type2Outlet;3.7;1
punto_recarga_68;38.888267;-3.7173870000000004;Tesla Manzanares;;Ciudad Real;Castille-La Mancha;13200;Tesla;120;1
punto_recarga_69;37.997741;-1.1360860000000002;Iberdrola Murcia Avenida de la Libertad;Avenida de la Libertad;Murcia;Region of Murcia;30009;no disponible;no disponible;no disponible
punto_recarga_70;38.25940900000001;-1.433424;Murcia;;Murcia;Region of Murcia;30100;IEC60309AC1PhaseBlue;3.7;1
punto_recarga_71;37.793808;-1.428134;Murcia;;Murcia;Region of Murcia;30834;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_72;37.7951474;-0.8385684000000001;Tesla Los Alcázares Avenida del Príncipe Felipe;Avenida del Príncipe Felipe;Murcia;Region of Murcia;30710;Tesla;;1
punto_recarga_73;37.60692279999999;-0.9823205;Renault Cartagena Avenida de Juan Carlos I;Avenida de Juan Carlos I;Murcia;Region of Murcia;30310;IEC62196Type2Outlet;22.2;1
punto_recarga_74;37.6719381;-1.6966689;Puerto Lumbreras Calle del Orfeón Fernández Caballero;Calle del Orfeón Fernández Caballero;Murcia;Region of Murcia;30890;IEC62196Type2CCS;120;1
punto_recarga_75;38.102619;-1.8668189999999998;Lorca Calle del Músico Gayón;Calle del Músico Gayón;Murcia;Region of Murcia;30800;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[7.4, 3.7];2
punto_recarga_76;39.475418299999994;-0.41828919999999997;València Avenida de Pío XII;Avenida de Pío XII;Valencia;Community of Valencia;46015;StandardHouseholdCountrySpecific;3.7;1
punto_recarga_77;39.4898665;-1.1085473;Chiva Calle 9;Calle 9;Valencia;Community of Valencia;46370;['IEC62196Type2Outlet', 'Tesla'];[3.7, 25];2
punto_recarga_78;38.9483404;-0.1410664;Gandia Calle Sant Vicent Ferrer;Calle Sant Vicent Ferrer;Valencia;Community of Valencia;46702;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8];2
punto_recarga_79;39.52891629999999;-1.4335149;Tarazona de la Mancha Calle de Luis de Góngora;Calle de Luis de Góngora;Albacete;Castille-La Mancha;02100;IEC62196Type2Outlet;11.1;1
punto_recarga_80;39.674211299999996;-0.2635329;Etecnic Sagunto Avenida Hornos Altos;Avenida Hornos Altos;Valencia;Community of Valencia;46520;IEC62196Type2Outlet;22.2;1
punto_recarga_81;38.8586433;-0.5826854;Ontinyent Avenida de San Francisco;Avenida de San Francisco;Valencia;Community of Valencia;46870;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[2.3, 2.3];2
punto_recarga_82;36.52945;-6.301842;Nissan Cádiz Ronda de Vigilancia de la Zona Franca;Ronda de Vigilancia de la Zona Franca;Cadiz;Andalusia;11011;Chademo;50;1
punto_recarga_83;36.6795451;-6.126471;Nissan Jerez de la Frontera Plaza Industrial Carretera Sevilla;Plaza Industrial Carretera Sevilla;Cadiz;Andalusia;11407;['Chademo', 'IEC62196Type1'];[50, 2.8];2
punto_recarga_84;36.5269719;-6.2862034000000016;Nissan Cádiz Ronda de Vigilancia de la Zona Franca;Ronda de Vigilancia de la Zona Franca;Cadiz;Andalusia;11011;Chademo;50;1
punto_recarga_85;36.12594770000001;-5.4478547;Benalup-Casas Viejas Salida Humeruelos;Salida Humeruelos;Cadiz;Andalusia;11190;['IEC62196Type2Outlet', 'Tesla'];[22.2, 25];2
punto_recarga_86;36.5309599;-6.185581299999999;Tesla El Puerto de Santa María Plaza de los Jazmines;Plaza de los Jazmines;Cadiz;Andalusia;11500;Tesla;;1
punto_recarga_87;37.8884888;-4.7895246;Córdoba Avenida del Brillante;Avenida del Brillante;Cordova;Andalusia;14012;IEC62196Type2Outlet;22.2;1
punto_recarga_88;37.851986600000004;-4.7919383999999985;Córdoba Avenida de la Libertad;Avenida de la Libertad;Cordova;Andalusia;14006;StandardHouseholdCountrySpecific;3.7;1
punto_recarga_89;36.84064;-2.9473;La Taha Paseo Marítimo;Paseo Marítimo;Granada;Andalusia;18414;IEC62196Type2Outlet;3.7;1
punto_recarga_90;36.77304;-2.80813;IBIL Almería Rambla de Belén;Rambla de Belén;Almería;Andalusia;04008;['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS'];[43.6, 50, 50];3
punto_recarga_91;36.877269399999996;-2.601775;Almería;;Almería;Andalusia;04006;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[3.7, 3.7];2
punto_recarga_92;37.655001;-1.711529;Puerto Lumbreras Calle del Orfeón Fernández Caballero;Calle del Orfeón Fernández Caballero;Murcia;Region of Murcia;30890;IEC62196Type2CCS;120;1
punto_recarga_93;42.035351;0.1213713;Huesca Calle del Ingeniero Susín;Calle del Ingeniero Susín;Huesca;Aragon;22004;IEC62196Type2Outlet;22.2;1
punto_recarga_94;42.5695049;-0.5510974000000001;Huesca Calle de Fidel Seral;Calle de Fidel Seral;Huesca;Aragon;22002;IEC62196Type2Outlet;2.8;1
punto_recarga_95;41.84975479999999;0.29138600000000003;Fraga Paseo de la Constitución;Paseo de la Constitución;Huesca;Aragon;22520;IEC62196Type2Outlet;11.1;1
punto_recarga_96;41.937981;-0.3693002;Villanueva de Gállego Calle de la Universidad de San Jorge;Calle de la Universidad de San Jorge;Saragossa;Aragon;50830;IEC62196Type2Outlet;7.4;1
punto_recarga_97;42.0346932;0.1282539;Huesca Calle del Ingeniero Susín;Calle del Ingeniero Susín;Huesca;Aragon;22004;IEC62196Type2Outlet;22.2;1
punto_recarga_98;42.751471;-0.514641;Huesca Paseo de Ramón y Cajal;Paseo de Ramón y Cajal;Huesca;Aragon;22006;IEC62196Type2Outlet;22.2;1
punto_recarga_99;42.27561;-0.682569;Sabiñánigo Avenida de las Biescas;Avenida de las Biescas;Huesca;Aragon;22609;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.3, 11.1];2
punto_recarga_100;41.294603;-1.8968939999999999;Cargacoches Monreal de Ariza Autovía del Nordeste;Autovía del Nordeste;Saragossa;Aragon;50291;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_101;41.624111799999994;-1.0109892;Zaragoza Calle de los Hermanos García Mercadal;Calle de los Hermanos García Mercadal;Saragossa;Aragon;50009;IEC62196Type2Outlet;22.2;1
punto_recarga_102;41.6231572;-0.9392437;Zaragoza Avenida de Navarra;Avenida de Navarra;Saragossa;Aragon;50011;StandardHouseholdCountrySpecific;2.3;1
punto_recarga_103;41.6077;-0.8914;Zaragoza;;Saragossa;Aragon;50008;StandardHouseholdCountrySpecific;2.8;1
punto_recarga_104;41.6604005;-0.9250773000000001;Zaragoza Calle de los Hermanos García Mercadal;Calle de los Hermanos García Mercadal;Saragossa;Aragon;50009;IEC62196Type2Outlet;22.2;1
punto_recarga_105;41.3131364;-2.0026174;Cargacoches Monreal de Ariza Autovía del Nordeste;Autovía del Nordeste;Saragossa;Aragon;50291;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_106;41.67785960000001;-0.8722631999999999;Peugeot Zaragoza Avenida Cataluña;Avenida Cataluña;Saragossa;Aragon;50014;IEC62196Type2Outlet;2.8;1
punto_recarga_107;41.2943278;-1.9043271000000002;Cargacoches Monreal de Ariza Autovía del Nordeste;Autovía del Nordeste;Saragossa;Aragon;50291;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_108;41.74049249999999;-1.0789535;Zaragoza Avenida de Casablanca;Avenida de Casablanca;Saragossa;Aragon;50019;IEC62196Type2Outlet;22.2;1
punto_recarga_109;41.335586;-1.228422;Renault Calatayud Polígono Industrial de Mediavega;Polígono Industrial de Mediavega;Saragossa;Aragon;50300;['IEC60309AC1PhaseBlue', 'IEC60309AC1PhaseBlue', 'StandardHouseholdCountrySpecific'];[3.7, None, 2.8];3
punto_recarga_110;41.65869379999999;-0.911226;Zaragoza Calle de Ramón Pignatelli;Calle de Ramón Pignatelli;Saragossa;Aragon;50004;IEC62196Type2Outlet;7.4;1
punto_recarga_111;41.6772633;-0.9442944;IBIL Zaragoza Calle de Ramón Pignatelli;Calle de Ramón Pignatelli;Saragossa;Aragon;50004;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[22.2, 3.7];2
punto_recarga_112;41.3027424;-1.9457493000000001;Cargacoches Monreal de Ariza Autovía del Nordeste;Autovía del Nordeste;Saragossa;Aragon;50291;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_113;41.657846899999996;-0.9091052;Zaragoza Calle de Ramón Pignatelli;Calle de Ramón Pignatelli;Saragossa;Aragon;50004;IEC62196Type2Outlet;7.4;1
punto_recarga_114;41.239738;-0.042700999999999996;Calanda Calle del Trillo;Calle del Trillo;Teruel;Aragon;44570;['IEC60309AC1PhaseBlue', 'StandardHouseholdCountrySpecific'];[None, 3.7];2
punto_recarga_115;41.867164;-1.321342;Tulebras Carretera de Tudela;Carretera de Tudela;Navarre;Chartered Community of Navarre;31522;IEC62196Type2Outlet;11.1;1
punto_recarga_116;41.826116;-1.243536;IBIL Zaragoza Avenida de Casablanca;Avenida de Casablanca;Saragossa;Aragon;50019;['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2Outlet'];[25, 25, 11.1];3
punto_recarga_117;41.6210922;-0.9150136;Zaragoza Avenida de San Juan Bosco;Avenida de San Juan Bosco;Saragossa;Aragon;50009;StandardHouseholdCountrySpecific;2.8;1
punto_recarga_118;41.6097869;-0.8819564999999999;IBIL Zaragoza Camino de las Torres;Camino de las Torres;Saragossa;Aragon;50002;IEC62196Type2Outlet;22.2;1
punto_recarga_119;41.62685949999999;-0.9227648999999999;Zaragoza Avenida de Navarra;Avenida de Navarra;Saragossa;Aragon;50011;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[3.7, 3.7];2
punto_recarga_120;41.6604906;-0.9255567999999998;Zaragoza Calle de los Hermanos García Mercadal;Calle de los Hermanos García Mercadal;Saragossa;Aragon;50009;IEC62196Type2Outlet;22.2;1
punto_recarga_121;42.0355435;-1.5885234;Tudela;;Navarre;Chartered Community of Navarre;31500;IEC62196Type2Outlet;22.2;1
punto_recarga_122;42.688371999999994;-1.6518488999999998;Renault Galar Carretera de Zaragoza;Carretera de Zaragoza;Navarre;Chartered Community of Navarre;31191;IEC62196Type2Outlet;22.2;1
punto_recarga_123;40.7529908;0.6064046999999999;Sant Carles De La Ràpita;;Tarragona;Catalonia;43540;['Tesla', 'IEC62196Type2Outlet'];[25, 2.8];2
punto_recarga_124;41.225031200000004;0.35111190000000003;Caspe Calle de Isabel 'La Católica';Calle de Isabel 'La Católica';Saragossa;Aragon;50700;IEC62196Type2Outlet;11.1;1
punto_recarga_125;41.089721000000004;0.6433639999999999;Etecnic Vandellòs i l'Hospitalet de l'Infant Carrer de Martí i Franquès;Calle de Martí i Franquès;Tarragona;Catalonia;43890;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_126;41.097721;0.648795;Etecnic Vandellòs i l'Hospitalet de l'Infant Carrer de Martí i Franquès;Calle de Martí i Franquès;Tarragona;Catalonia;43890;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_127;41.1115;1.2528920000000001;Tarragona;Vía Augusta;Tarragona;Catalonia;43003;StandardHouseholdCountrySpecific;3.7;1
punto_recarga_128;41.155294899999994;1.0970628;Reus Raval de Robuster;Arrabal de Robuster;Tarragona;Catalonia;43204;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[7.4, 7.4];2
punto_recarga_129;42.062333100000004;-1.6200549;Nissan Fontellas Avenida del Conde de Gabarda;Avenida del Conde de Gabarda;Navarre;Chartered Community of Navarre;31512;Chademo;50;1
