name,formatted_address,latitude,longitude
Estación de carga de vehículos eléctricos,"Plaza Cortes de Aragón, 5, 22700 Jaca, Huesca",42.5695049,-0.5510974000000001
Tesla Supercharger,"Camino de la Paridera de Costa, 50012 Zaragoza",41.624111799999994,-1.0109892
Tesla Supercharger,"43896 L'Aldea, Tarragona",40.7529908,0.6064046999999999
IBIL Charging Station,"Av. de Casablanca, 11, 50019 Zaragoza",41.6231572,-0.9392437
Iberdrola Clientes Charging Station,"Ctra. Corella, 31500 Tudela, Navarra",42.06233100000001,-1.6203530000000002
Iberdrola Estación de carga,"Carrer Metge José Pérez Martínez, 1, 46160 Llíria, Valencia",39.6332084,-0.5922097
Iberdrola Clientes Charging Station,"Av. Juan Pablo II, 4, 31006 Pamplona, Navarra",42.8041,-1.6280000000000001
Iberdrola Clientes Charging Station,"Av. de Burgos, 49, 26006 Logroño, La Rioja",42.4615534,-2.4692679
Iberdrola Clientes Charging Station,"Calle Teatro Malibrán, 28, 50021 Zaragoza",41.6077,-0.8914
Lugenergy Estación de carga,"Av. de los Hermanos Machado, 137, 46025 Valencia",39.4978749,-0.3826875
Zoilo Ríos Estación de carga,"Autovía de Logroño, 0,300, 50011 Zaragoza",41.6604005,-0.9250773000000001
Supercargador TESLA,"Calle Carr. de madrid, 50220 Ariza, Zaragoza",41.3131364,-2.0026174
Puntos de Recarga,"Av. de Salvador Allende, 105, Local, 50015 Zaragoza",41.677859600000005,-0.8722631999999999
Estacíon de Alhama De Aragon Adif,"Carretera Estacion Ferrocarril, S/N, 50230 Alhama de Aragón, Zaragoza",41.2943278,-1.9043271000000002
Estación de Servicio Repsol,"A-68, P.K. 258,25 DE, 50692 Villarrapa, Zaragoza",41.74049249999999,-1.0789535
Estacíon de Binefar Adif,"Av. de Aragon, S/N, 22500 Binéfar, Huesca",41.84975479999999,0.29138600000000003
Estacíon de La Puebla De Hijar Adif,"Plaza Del, Plaza Reino de Aragón, 1, 44510, Teruel",41.2243315,-0.4385412
Estacíon de Grañen Adif,"Calle, Ronda de Aragón, S/N, 22260 Grañén, Huesca",41.937981,-0.3693002
Estación de Servicio Repsol,"Calle Corona de Aragón, 52 IZ, 22300 Barbastro, Huesca",42.0346932,0.1282539
Canfranc,"22880 Canfranc-Estación, Huesca",42.751471,-0.514641
Puerto Escandon,"44442, Teruel",40.273092,-0.985079
Cariñena,"50400 Cariñena, Zaragoza",41.335586,-1.228422
Zaragoza-Delicias,"Av. Navarra, 80, 50011 Zaragoza",41.65869379999999,-0.911226
Ayerbe,"22800 Ayerbe, Huesca",42.27561,-0.682569
Zaragoza Plaza,"Unnamed Road, Zaragoza",41.6772633,-0.9442944
Iberdrola Estación de carga,"Calle Esquíroz, 31007 Pamplona, Navarra",42.8079581,-1.6492792
Repsol,"A-2, Km 202, 50292 Cetina, Zaragoza",41.3027424,-1.9457493000000001
Zaragoza-Delicias,"Calle Rioja, 33, 50011 Zaragoza",41.657846899999996,-0.9091052
Caspe,"50700 Caspe, Zaragoza",41.239738,-0.042700999999999996
FINSA CELLA II,"Ctra. Estación, 4, 44370 Cella, Teruel",40.453478600000004,-1.2447381000000002
Gallur,"50650, Zaragoza",41.867164,-1.321342
Luceni,"50640 Luceni, Zaragoza",41.826116,-1.243536
Estación de Servicio Repsol,"Cr N-330, 491,9 I, 50019 Zaragoza",41.6210922,-0.9150136
Fayón-La Pobla de Massaluca,"43783, Tarragona",41.225031200000004,0.35111190000000003
Aragón,46010 Valencia,39.4725531,-0.35794190000000004
Estación de Servicio Repsol,"Av. Isla de Murano, S.N, 50021 Zaragoza",41.6097869,-0.8819564999999999
Estación de Servicio Repsol,"Av. de la Ilustración, 1, 50012 Zaragoza",41.62685949999999,-0.9227648999999999
"OFICINAS CENTRALES ZOILO RIOS, S.A.","Autovía de Logroño. p.k.0.300, 50011 Zaragoza",41.6604906,-0.9255567999999998
Estación de carga de vehículos eléctricos,"33429, Asturias",43.390507299999996,-5.8029572
Estación de carga de vehículos eléctricos,"33010 Oviedo, Asturias",43.372637299999994,-5.8150306999999986
Repsol Estación de carga,"Av. de Oviedo, 27B, 33211 Gijón, Asturias",43.5221402,-5.6838922
EDP Estación de recarga rápida eléctrica y de gas natural comprimido,"Av. de Oviedo, 230, 33211 Gijón, Asturias",43.518087,-5.686856099999999
Estación de carga de vehículos eléctricos,"Plaza Mayor, 2, 33201 Gijón, Asturias",43.5446236,-5.662274699999998
Estación de carga de vehículos eléctricos,"Calle Juan López Peñalver, 33204 Gijón, Asturias",43.5227443,-5.625524700000001
EDP Estación de carga,"Calle del Gral. Elorza, 71, 33002 Oviedo, Asturias",43.3668546,-5.8487877
EDP Estación de carga,"n°13, Calle Álvarez Garaya, 33206 Gijón, Asturias",43.5412615,-5.665589700000001
Estación de carga de vehículos eléctricos,"Barrio el Plano, 8, 28, 33211 Gijón, Asturias",43.535122799999996,-5.6925099
EDP Estación de carga,"Calle de la Independencia, 13, 33004 Oviedo, Asturias",43.36479689999999,-5.8548851
Wenea Estación de carga,"N-634, 33569 Ribadesella, Asturias",43.4309674,-5.0625212999999984
Estación de carga de vehículos eléctricos,"Plaza de San Miguel, 1, 33202 Gijón, Asturias",43.5398613,-5.65813
Estación de carga de vehículos eléctricos,"33401 Avilés, Asturias",43.5749789,-5.9293754000000005
edp Estación de carga,"Calle Canga Argüelles, 12, 33202 Gijón, Asturias",43.538481700000006,-5.650876999999999
EDP Estación de carga,"Calle Avelino Glez Mallada, 27, 33204 Gijón, Asturias",43.5326774,-5.649454
Iberdrola Estación de carga,"8 Aldea, Aldea Bendones, 33195 Santa María de Bendones, Asturias",43.3364285,-5.806597
EDP Estación de carga,"Carlos Marx, Calle Juanín de Mieres, 1, 33207 Gijón, Asturias",43.5360769,-5.6728762
EDP Estación de carga,"Plaza Europa, 33450 Piedras Blancas, Asturias",43.5591662,-5.9772415
Estación de carga de vehículos eléctricos,"Calle Escuela Capataces, 43, 33600 Mieres, Asturias",43.253244,-5.7745277999999995
Estación de carga de vehículos eléctricos,"Camino La Cadellada, 33011 Oviedo, Asturias",43.3773626,-5.8246113
Iberdrola Clientes Charging Station,"Aldea Paredes, 33429 Paredes El Cuetu, Asturias",43.3881283,-5.8071626
Estación de carga de vehículos eléctricos,"Barrio Cerdeño, 14, 33010 Oviedo, Asturias",43.37161589999999,-5.816210799999999
Estación de carga de vehículos,"Calle Canga Argüelles, 14, 33202 Gijón, Asturias",43.5385415,-5.6508614999999995
Estación de carga de vehículos eléctricos,"Caserio la Estrecha, 35T, 33011 Oviedo, Asturias",43.3813393,-5.829434699999998
Tesla Destination Charger,"Unnamed Road, 33429, 33429, Asturias",43.390181,-5.8047372
Punto de recarga para Coches Eléctricos,"Lugar la Fresneda, 9A, 33429, Asturias",43.4139936,-5.7967385
"EDP Comercializadora, SAU Charging Station","Av. de Oviedo, 176, 33211 Gijón, Asturias",43.518088,-5.686847999999999
