puntos,name,formatted_address,latitude,longitude
punto_A,ENDESA Charging Station,"Calle José Saramago, 29660 Marbella, Málaga",36.4891,-4.9531
punto_B,Tesla Destination Charger,"Calle Las Violetas, 4, 29660 Marbella, Málaga",36.48981320000001,-4.961653500000001
punto_C,be.ENERGISED Charging Station,42 Calle Ribera Marbella 29660 ES,36.48600020000001,-4.9544023
punto_D,Tesla Destination Charger,"Plaza de Cibeles, s/n, 29660 Marbella, Málaga",36.509707,-4.979749
